team_slug,conference
nichollsstatecolonels,Unknown
njit,nan
nobel,Unknown
norfolkstate,nan
northalabama,nan
northamericanstallions,Unknown
northcarolina,nan
northcarolinaaandt,nan
northcarolinacentral,nan
northcentralcollege,Unknown
northcentralmn,Unknown
northdakotafighting,nan
northdakotastate,nan
northeastern,nan
northeasternstateriverhawks,Unknown
northernarizonalumberjacks,nan
northerncolorado,nan
northernillinois,nan
northerniowa,nan
northernkentucky,nan
northernnewmexico,Unknown
northernstatewolves,Unknown
northfloridaospreys,nan
northgreenvillecrusaders,Unknown
northlandlumberjacks,Unknown
northpark,Unknown
northtexas,nan
northwest,Unknown
northwestern,nan
northwesternoklahomastaterangers,Unknown
northwesternstate,nan
northwestindian,Unknown
northwestnazarenenwnazarene,Unknown
northwoodmitimberwolves,Unknown
notredame,nan
notredamemdgators,Unknown
oakhillschristian,Unknown
oaklandcitymightyoaks,Unknown
oaklandgoldengrizzlies,nan
oakwoodambassadors,Unknown
occidental,Unknown
ofhealthsciencesandpharmacyeutectics,Unknown
ofsouthwest,Unknown
ofstatekatherinestatekatherine,Unknown
ofstatemary,Unknown
ofwisconsinriverfalls,Unknown
oglethorpestormypetrels,Unknown
ohio,nan
ohiochristiantrailblazers,Unknown
ohiodominican,Unknown
ohiostatebuckeyes,nan
ohiowesleyanbattlingbishops,Unknown
oklahomachristianoklahomachristian,Unknown
oklahomasooners,nan
oklahomastate,nan
olddominion,nan
oldwestbury,Unknown
olivetcomets,Unknown
omaha,nan
oralrobertsgolden,nan
oregonducks,nan
oregonstatebeavers,nan
ottawaazspirit,Unknown
ouachitabaptist,Unknown
ourladyoflakesaints,Unknown
ozarkchristianambassadors,Unknown
pacific,nan
pacificlutheranlutes,Unknown
pacificunionpacificunion,Unknown
paine,Unknown
palmbeachatlanticsailfish,Unknown
parkgilbert,Unknown
paulquinn,Unknown
paulsmiths,Unknown
pennstateabingtonnittany,Unknown
pennstatealleghanynittany,Unknown
pennstatealtoonanittany,Unknown
pennstatebehrend,Unknown
pennstatebrandywine,Unknown
pennstatehazletonnittany,Unknown
pennstatenewkensington,Unknown
pennstatenittany,nan
pennstateschuylkillnittany,Unknown
pennstatescrantonnittany,Unknown
pennstateshenangonittany,Unknown
pennstatewilkesbarremountain,Unknown
pennstateyorknittany,Unknown
pennsylvania,nan
pensacolachristiancollegepensacolachristian,Unknown
pepperdine,nan
perustate,Unknown
perustateperustate,Unknown
pfeiffer,Unknown
philadelphiabiblical,Unknown
piedmont,Unknown
pinemanor,Unknown
pittsburgh,nan
pittsburghbradford,Unknown
pittsburghgreensburg,Unknown
plattsburghstate,Unknown
pointlomanazarenesea,Unknown
pointpark,Unknown
pointskyhawks,Unknown
portlandbiblearrows,Unknown
portlandpilots,nan
portlandstate,nan
prairieview,Unknown
prairieviewaandm,nan
prattcannoneers,Unknown
presbyterianbluehose,nan
presentationcollegesaints,Unknown
princeton,nan
principiacollegeprincipia,Unknown
providence,nan
puertoricobayamon,Unknown
puertoricomayaguez,Unknown
puertoricoriopiedrasgallitos,Unknown
pugetsoundloggers,Unknown
purchase,Unknown
purdue,Unknown
purdueboilermakers,nan
purduefortwaynemastodons,nan
purduenorthwestpride,Unknown
queenscollegeny,Unknown
queensroyals,ASUN
quinnipiac,nan
radford,nan
randallsaints,Unknown
randolphcollege,Unknown
randolphmaconyellowjackets,Unknown
redlands,Unknown
regentroyals,Unknown
regiscoregis,Unknown
regispride,Unknown
reinhardt,Unknown
rhodeisland,nan
rhodeislandcollegeanchormen,Unknown
rhodeslynx,Unknown
rice,nan
richmond,nan
rider,nan
riponred,Unknown
rit,Unknown
rivierraiders,Unknown
robertmorriscolonials,nan
robertswesleyan,Unknown
rochestermi,Unknown
rockfordregents,Unknown
rockymountain,Unknown
rogersstatehillcats,Unknown
rosemontravens,Unknown
rowan,Unknown
rust,Unknown
rutgerscamdenrutgerscamden,Unknown
rutgerscamdenscarletraptors,Unknown
rutgersscarlet,nan
sacramentostate,nan
sacredheart,nan
saginawvalleystate,Unknown
saintpeters,nan
salishkootenai,Unknown
salvereginaseahawks,Unknown
samford,nan
samhoustonbearkats,nan
samhoustonstatebearkats,Unknown
sandiegochristian,Unknown
sandiegostate,nan
sandiegotoreros,nan
sanfrancisco,nan
sanfranciscostategators,Unknown
sanjosestate,nan
santaclara,nan
sarahlawrencegryphons,Unknown
savannahstate,Unknown
schreiner,Unknown
scienceandartsokdrovers,Unknown
seattle,WAC
seattlepacific,Unknown
seattleu,nan
selouisiana,nan
semissouristate,Unknown
setonhall,nan
shaw,Unknown
shawneestate,Unknown
shenandoah,Unknown
sienaheightssaints,Unknown
sienasaints,nan
simonfraserredleafs,Unknown
simpsoncollegeiastorm,Unknown
siuedwardsville,nan
smu,nan
southalabama,nan
southcarolinagamecocks,nan
southcarolinastate,nan
southdakotacoyotes,nan
southdakotamineshardrockers,Unknown
southdakotastate,nan
southeasternfires,Unknown
southeasternoklahomastatesavagestorm,Unknown
southeastmissouristate,nan
southern,nan
southernarkansasmuleriders,Unknown
southernillinoissalukis,nan
southernindianascreaming,Ohio Valley
southernmissgolden,nan
southernnazarenecrimsonstorm,Unknown
southernneworleans,Unknown
southernoregonraiders,Unknown
southernutahthunderbirds,nan
southernvirginia,Unknown
southernwesleyan,Unknown
southfloridabulls,nan
southwesternadventist,Unknown
southwesternassembliesofgod,Unknown
southwesternchristian,Unknown
southwesternoklahomastate,Unknown
southwesterntx,Unknown
spaldingpelicans,Unknown
spartanburgmethodist,Unknown
springfieldpride,Unknown
springhillbadgers,Unknown
stambrosefightingbees,Unknown
standrews,Unknown
stanfordcardinal,nan
stanislausstate,Unknown
stantonelks,Unknown
staugustines,Unknown
stbonaventurebonnies,nan
stedwardshilltoppers,Unknown
stelizabeth,Unknown
stephenfaustinlumberjacks,nan
sterlingcollegeks,Unknown
stetsonhatters,nan
stfrancisbrooklyn,Unknown
stfrancisilfightingsaints,Unknown
stfrancisparedflash,NEC
stfrancisredflash,nan
stjohnfisher,Unknown
stjohnsmnjohnnies,Unknown
stjohnsredstorm,nan
stjosephs,nan
stjosephslongislandgolden,Unknown
stjosephsny,Unknown
stleo,Unknown
stlouis,nan
stmaryofwoodscollegepomeroys,Unknown
stmarys,nan
stmarysmdseahawks,Unknown
stmarysmn,Unknown
stmarystxrattlers,Unknown
stnorbertgreen,Unknown
stonehillskyhawks,nan
stonybrook,nan
stscholasticasaints,Unknown
stthomasminnesotatommies,nan
stthomasmntommies,Summit League
stthomastxcelts,Unknown
stvincent,Unknown
stxavieril,Unknown
sulrossstate,Unknown
sunybrockportgolden,Unknown
sunycantonroos,Unknown
sunycobleskillfighting,Unknown
sunydelhi,Unknown
sunymaritime,Unknown
sunymorrisville,Unknown
sunyoneontared,Unknown
sunypoly,Unknown
sunypotsdamsunypotsdam,Unknown
syracuse,nan
tabor,Unknown
talladegatornadoes,Unknown
tarletonstate,nan
taylortrojans,Unknown
tbd,Unknown
tcuhornedfrogs,nan
temple,nan
tennessee,nan
tennesseesouthernfirehawks,Unknown
tennesseestate,nan
tennesseetechgolden,nan
tennesseewesleyan,Unknown
tennmartinskyhawks,Unknown
texas,nan
texasaandm,nan
texasaandmcc,Unknown
texasaandmcorpuschristi,nan
texasaandmsanantonio,Unknown
texasaandmtexarkana,Unknown
texascollegesteers,Unknown
texaslutheran,Unknown
texassanantonio,nan
texassouthern,nan
texasstate,nan
texastechredraiders,nan
texaswesleyan,Unknown
thieltomcats,Unknown
thomasganight,Unknown
thomasme,Unknown
tiffin,Unknown
toccoafalls,Unknown
toledorockets,nan
tougaloo,Unknown
towson,nan
transylvania,Unknown
treveccanazarenetrojans,Unknown
trinitybaptist,Unknown
trinitychristianiltrolls,Unknown
trinitycollegeofjacksonville,Unknown
trinityfl,Unknown
trinitytx,Unknown
troytrojans,nan
truettmcconnell,Unknown
trumanstate,Unknown
tulanegreen,nan
tulsa,nan
tusculum,Unknown
uabblazers,nan
ualbanygreatdanes,nan
ucf,nan
