issue,team
not_mapped,Roberts Wesleyan Redhawks
not_mapped,Rockford Regents
not_mapped,Rutgers-Camden Scarlet Raptors
not_mapped,SUNY-Maritime Privateers
not_mapped,SUNY-Oneonta Red Dragons
not_mapped,Saint John's (MN) Johnnies
not_mapped,Saint Leo Monarchs
not_mapped,Saint Mary of the Woods College Pomeroys
not_mapped,Salish Kootenai Bison
not_mapped,Salve Regina Seahawks
not_mapped,San Francisco State Gators
not_mapped,Sarah Lawrence Gryphons
not_mapped,Schreiner Mountaineers
not_mapped,Shaw Bears
not_mapped,Simpson University (CA) Red Hawks
not_mapped,Southern Wesleyan Warriors
not_mapped,Spurgeon College Knights
not_mapped,St. Ambrose Fighting Bees
not_mapped,St. John Fisher Cardinals
not_mapped,St. Mary's (MD) Seahawks
not_mapped,St. Thomas (TX) Celts
not_mapped,St. Xavier  (IL) Cougars
not_mapped,TBD
not_mapped,Tennessee Southern Firehawks
not_mapped,Tennessee Wesleyan Bulldogs
not_mapped,Texas Lutheran Bulldogs
not_mapped,Tiffin Dragons
not_mapped,Toccoa Falls Eagles
not_mapped,Tougaloo Bulldogs
not_mapped,Trinity College of Jacksonville Eagles
not_mapped,Tusculum Pioneers
not_mapped,UC Merced Bobcats
not_mapped,Vermont State - Johnson Badgers
not_mapped,Vermont State - Lyndon Hornets
not_mapped,Virginia St Trojans
not_mapped,Virginia-Lynchburg Dragons
not_mapped,Warner Pacific Knights
not_mapped,Warren Wilson Owls
not_mapped,Washington College (MD) Shoremen
not_mapped,Waynesburg Yellow Jackets
not_mapped,West Coast Baptist Eagles
not_mapped,William Carey Crusaders
not_mapped,William Peace Pacers
not_mapped,Wisconsin
not_mapped,Worcester State Lancers
not_mapped,nan
