unmatched_odds_pair
detroitmercytitans::uicflames
drakebulldogs::northernarizonalumberjacks
drexeldragons::stjosephshawks
dukebluedevils::westerncarolinacatamounts
duquesnedukes::niagarapurpleeagles
eastcarolinapirates::richmondspiders
easternmichiganeagles::georgiastpanthers
easternwashingtoneagles::uclabruins
easttennesseestatebuccaneers::presbyterianbluehose
elonphoenix::uncgreensborospartans
fairfieldstags::njithighlanders
fairfieldstags::pennstatenittanylions
fairleighdickinsonknights::iowastatecyclones
fairleighdickinsonknights::stpeterspeacocks
floridaaandmrattlers::kennesawstowls
floridaaandmrattlers::southfloridabulls
floridaatlanticowls::libertyflames
floridaintlgoldenpanthers::nebraskacornhuskers
fortwaynemastodons::grandcanyonantelopes
fresnostbulldogs::longbeachst49ers
furmanpaladins::highpointpanthers
gardnerwebbbulldogs::minnesotagoldengophers
georgemasonpatriots::woffordterriers
georgetownhoyas::morganstbears
georgiabulldogs::moreheadsteagles
georgiasoutherneagles::uncashevillebulldogs
georgiatechyellowjackets::marylandeasternshorehawks
gonzagabulldogs::oklahomasooners
gonzagabulldogs::texassoutherntigers
gramblingsttigers::howardbison
greenbayphoenix::kansasjayhawks
gwrevolutionaries::maineblackbears
gwrevolutionaries::southfloridabulls
hamptonpirates::milwaukeepanthers
harvardcrimson::newhampshirewildcats
hofstrapride::ucfknights
holycrosscrusaders::providencefriars
houstonchristianhuskies::ucsandiegotritons
houstoncougars::lehighmountainhawks
houstoncougars::towsontigers
howardbison::missouritigers
idahostatebengals::sandiegostaztecs
idahovandals::washingtonstcougars
illinoisfightingillini::jacksonsttigers
indianahoosiers::marquettegoldeneagles
iupuijaguars::ohiostatebuckeyes
jacksonvilledolphins::miamihurricanes
kentstategoldenflashes::troytrojans
lafayetteleopards::stjosephshawks
lafayetteleopards::texaslonghorns
lasalleexplorers::monmouthhawks
lehighmountainhawks::westvirginiamountaineers
lipscombbisons::vanderbiltcommodores
liusharks::notredamefightingirish
louisvillecardinals::southcarolinastbulldogs
loyolachiramblers::northtexasmeangreen
loyolamdgreyhounds::towsontigers
maineblackbears::stonybrookseawolves
manhattanjaspers::usctrojans
maristredfoxes::xaviermusketeers
marquettegoldeneagles::ualbanygreatdanes
marshallthunderingherd::massachusettsminutemen
marshallthunderingherd::toledorockets
massachusettsminutemen::ualbanygreatdanes
memphistigers::sanfranciscodons
mercerbears::tennesseevolunteers
mercyhurstlakers::northwesternwildcats
merrimackwarriors::southdakotastjackrabbits
miamiohredhawks::olddominionmonarchs
michiganwolverines::oaklandgoldengrizzlies
milwaukeepanthers::woffordterriers
missouritigers::vmikeydets
missvalleystdeltadevils::uabblazers
montanagrizzlies::stanfordcardinal
murraystracers::omahamavericks
navymidshipmen::presbyterianbluehose
ncstatewolfpack::northcarolinacentraleagles
nebraskacornhuskers::westgeorgiawolves
nevadawolfpack::pacifictigers
newhavenchargers::pennstatenittanylions
newmexicolobos::utarlingtonmavericks
neworleansprivateers::tcuhornedfrogs
norfolkstatespartans::williamandmarytribe
northdakotastbison::oregonstbeavers
northernillinoishuskies::ulmonroewarhawks
northerniowapanthers::southdakotastjackrabbits
northernkentuckynorse::tennesseevolunteers
northwesternstdemons::texasaandmaggies
oklahomasooners::stfrancisparedflash
oklahomastcowboys::texasaandmaggies
olemissrebels::selouisianalions
pittsburghpanthers::youngstownstpenguins
portlandpilots::ucdavisaggies
prairieviewpanthers::wichitastshockers
providencefriars::virginiatechhokies
queensroyals::villanovawildcats
quinnipiacbobcats::stjohnsredstorm
radfordhighlanders::westernillinoisleathernecks
rhodeislandrams::stetsonhatters
riderbroncs::virginiacavaliers
samfordbulldogs::tulanegreenwave
sanjosestatespartans::ucsantabarbaragauchos
sanjosestatespartans::utahutes
semissouristredhawks::stlouisbillikens
setonhallpirates::stpeterspeacocks
smumustangs::tarletonstatetexans
southalabamajaguars::toledorockets
southcarolinagamecocks::southernmissgoldeneagles
southdakotacoyotes::utahtechtrailblazers
southernutahthunderbirds::utriograndevalleyvaqueros
stmarysgaels::stthomasmntommies
tarletonstatetexans::texasaandmccislanders
tennesseetechgoldeneagles::westernkentuckyhilltoppers
texasstatebobcats::tulanegreenwave
ucfknights::vanderbiltcommodores
utahutes::weberstatewildcats
vcurams::wagnerseahawks
