slug,count
new-mexico-highlands-cowboys,1
bluefield-state-big-blues,1
point-university-skyhawks,1
bob-jones-bruins,1
emmanuel-ma-lions,1
hanover-panthers,1
vassar-brewers,1
st-scholastica-saints,1
westminster-ut-griffins,1
elizabeth-city-state-vikings,1
fort-valley-state-wildcats,1
washington-adventist-shock,1
benedictine-university-il-eagles,1
john-jay-college-bloodhounds,1
pittsburgh-greensburg-bobcats,1
berea-mountaineers,1
bryan-tn-lions,1
voorhees-tigers,1
johnson-c-smith-golden-bulls,1
washington-college-md-shoremen,1
new-college-fl-mighty-banyans,1
boyce-bulldogs,1
defiance-yellow-jackets,1
eastern-university-pa-eagles,1
christian-brothers-buccaneers,1
cumberland-ky-patriots,1
loras-duhawks,1
manhattanville-valiants,1
rhodes-lynx,1
peru-state-bobcats,1
angelo-state-rams,1
coe-kohawks,1
eastern-oregon-mountaineers,1
paul-smith-s-bobcats,1
maine-augusta-moose,1
st-elizabeth-eagles,1
bethel-tn-wildcats,1
haskell-jayhawks,1
embry-riddle-az-eagles,1
william-carey-crusaders,1
misericordia-cougars,1
ohio-christian-trailblazers,1
city-college-ny-beavers,1
dallas-christian-crusaders,1
concordia-nebraska-clippers,1
jamestown-jimmies,1
tiffin-dragons,1
st-thomas-tx-celts,1
evergreen-state-geoducks,1
nobel-knights,1
kean-cougars,1
ohio-wesleyan-battling-bishops,1
rockford-regents,1
erskine-flying-fleet,1
buena-vista-beavers,1
fisk-bulldogs,1
vermont-state-lyndon-hornets,1
howard-payne-yellow-jackets,1
schreiner-mountaineers,1
lancasater-bible-college-chargers,1
uc-merced-bobcats,1
shaw-bears,1
notre-dame-md-gators,1
marywood-pacers,1
texas-lutheran-bulldogs,1
hawai-i-pacific-sea-warriors,1
tennessee-southern-firehawks,1
brescia-bearcats,1
salve-regina-seahawks,1
waynesburg-yellow-jackets,1
adrian-bulldogs,1
rutgers-camden-scarlet-raptors,1
piedmont-lions,1
mercy-mavericks,1
st-mary-s-md-seahawks,1
worcester-state-lancers,1
virginia-st-trojans,1
central-state-oh-marauders,1
tennessee-wesleyan-bulldogs,1
holy-cross-college-in-saints,1
missouri-baptist-spartans,1
franklin-pierce-ravens,1
midwestern-state-mustangs,1
emerson-lions,1
sarah-lawrence-gryphons,1
franciscan-university-barons,1
kentucky-state-thorobreds,1
gwynedd-mercy-griffins,1
suny-oneonta-red-dragons,1
trinity-college-of-jacksonville-eagles,1
redlands-bulldogs,1
our-lady-of-the-lake-saints,1
lawrence-university-vikings,1
mid-america-christian-evangels,1
regis-co-regis-university,1
mitchell-college-mariners,1
johnson-wales-ri-griffins,1
northeastern-state-riverhawks,1
st-ambrose-fighting-bees,1
st-xavier-il-cougars,1
louisiana-christian-wildcats,1
apprentice-school-builders,1
blackburn-beavers,1
indiana-university-east-iu-east,1
eureka-red-devils,1
suny-maritime-privateers,1
saint-mary-of-the-woods-college-pomeroys,1
mount-marty-college-lancers,1
manhattan-christian-thunder,1
vermont-state-johnson-badgers,1
pfeiffer-falcons,1
bloomsburg-huskies,1
brandeis-judges,1
puget-sound-loggers,1
manor-college-blue-jays,1
warren-wilson-owls,1
lewis-clark-pioneers,1
christendom-crusaders,1
barber-scotia-barber-scotia,1
bryant-str-alb-bobcats,1
hannibal-lagrange-trojans,1
st-john-fisher-cardinals,1
roberts-wesleyan-redhawks,1
elms-college-blazers,1
florida-memorial-florida-memorial,1
bowie-state-bulldogs,1
gallaudet-bison,1
tusculum-pioneers,1
oglethorpe-stormy-petrels,1
aquinas-saints,1
auburn-montgomery-senators,1
cameron-aggies,1
southern-wesleyan-warriors,1
regis-pride,1
georgian-court-lions,1
culver-stockton-wildcats,1
doane-tigers,1
fisher-college-eagles,1
old-westbury-panthers,1
saint-leo-monarchs,1
crown-college-polars,1
salish-kootenai-bison,1
hawai-i-hilo-vulcans,1
