raw,canonical
Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets
Gonzaga Bulldogs,Gonzaga Bulldogs
Grambling Tigers,Grambling Tigers
Grand Canyon Lopes,Grand Canyon Lopes
Green Bay Phoenix,Green Bay Phoenix
Harvard Crimson,Harvard Crimson
Hawai'i Rainbow Warriors,Hawai'i Rainbow Warriors
High Point Panthers,High Point Panthers
Holy Cross Crusaders,Holy Cross Crusaders
Houston Cougars,Houston Cougars
Howard Bison,Howard Bison
Idaho State Bengals,Idaho State Bengals
Illinois Fighting Illini,Illinois Fighting Illini
Illinois State Redbirds,Illinois State Redbirds
Indiana Hoosiers,Indiana Hoosiers
Iona Gaels,Iona Gaels
Iowa Hawkeyes,Iowa Hawkeyes
Iowa State Cyclones,Iowa State Cyclones
Jackson State Tigers,Jackson State Tigers
James Madison Dukes,James Madison Dukes
Kansas Jayhawks,Kansas Jayhawks
Kansas State Wildcats,Kansas State Wildcats
Kent State Golden Flashes,Kent State Golden Flashes
Kentucky Christian Knights,Kentucky Christian Knights
Kentucky Wildcats,Kentucky Wildcats
LSU Tigers,LSU Tigers
Le Moyne Dolphins,Le Moyne Dolphins
Lehigh Mountain Hawks,Lehigh Mountain Hawks
Liberty Flames,Liberty Flames
Lindenwood Lions,Lindenwood Lions
Lipscomb Bisons,Lipscomb Bisons
Louisiana Tech Bulldogs,Louisiana Tech Bulldogs
Louisville Cardinals,Louisville Cardinals
Loyola Chicago Ramblers,Loyola Chicago Ramblers
Loyola Marymount Lions,Loyola Marymount Lions
Lyon Scots,Lyon Scots
Manhattan Jaspers,Manhattan Jaspers
Marist Red Foxes,Marist Red Foxes
Marquette Golden Eagles,Marquette Golden Eagles
Maryland Terrapins,Maryland Terrapins
McNeese Cowboys,McNeese Cowboys
Memphis Tigers,Memphis Tigers
Mercer Bears,Mercer Bears
Merrimack Warriors,Merrimack Warriors
Miami Hurricanes,Miami Hurricanes
Michigan State Spartans,Michigan State Spartans
Michigan Wolverines,Michigan Wolverines
Milwaukee Panthers,Milwaukee Panthers
Minnesota Golden Gophers,Minnesota Golden Gophers
Mississippi State Bulldogs,Mississippi State Bulldogs
Missouri Tigers,Missouri Tigers
Montana Grizzlies,Montana Grizzlies
Montana State Bobcats,Montana State Bobcats
Morehead State Eagles,Morehead State Eagles
Mount St. Mary's Mountaineers,Mount St. Mary's Mountaineers
Nebraska Cornhuskers,Nebraska Cornhuskers
Nevada Wolf Pack,Nevada Wolf Pack
New Hampshire Wildcats,New Hampshire Wildcats
New Haven Chargers,New Haven Chargers
New Mexico Lobos,New Mexico Lobos
Niagara Purple Eagles,Niagara Purple Eagles
Nicholls Colonels,Nicholls Colonels
Norfolk State Spartans,Norfolk State Spartans
North Carolina Central Eagles,North Carolina Central Eagles
North Carolina Tar Heels,North Carolina Tar Heels
North Dakota Fighting Hawks,North Dakota Fighting Hawks
North Florida Ospreys,North Florida Ospreys
North Texas Mean Green,North Texas Mean Green
Northern Illinois Huskies,Northern Illinois Huskies
Northern Iowa Panthers,Northern Iowa Panthers
Northern Kentucky Norse,Northern Kentucky Norse
Northwestern Wildcats,Northwestern Wildcats
Notre Dame Fighting Irish,Notre Dame Fighting Irish
Oakland City Mighty Oaks,Oakland City Mighty Oaks
Oakland Golden Grizzlies,Oakland Golden Grizzlies
Ohio Bobcats,Ohio Bobcats
Ohio State Buckeyes,Ohio State Buckeyes
Oklahoma Sooners,Oklahoma Sooners
Oklahoma State Cowboys,Oklahoma State Cowboys
Ole Miss Rebels,Ole Miss Rebels
Omaha Mavericks,Omaha Mavericks
Oregon Ducks,Oregon Ducks
Oregon State Beavers,Oregon State Beavers
Ozark Christian Ambassadors,Ozark Christian Ambassadors
Penn State Nittany Lions,Penn State Nittany Lions
Pennsylvania Quakers,Pennsylvania Quakers
Pepperdine Waves,Pepperdine Waves
Pittsburgh Panthers,Pittsburgh Panthers
Portland Pilots,Portland Pilots
Princeton Tigers,Princeton Tigers
Providence Friars,Providence Friars
Purdue Boilermakers,Purdue Boilermakers
Purdue Fort Wayne Mastodons,Purdue Fort Wayne Mastodons
Quinnipiac Bobcats,Quinnipiac Bobcats
Rice Owls,Rice Owls
Rider Broncs,Rider Broncs
Robert Morris Colonials,Robert Morris Colonials
Rutgers Scarlet Knights,Rutgers Scarlet Knights
SIU Edwardsville Cougars,SIU Edwardsville Cougars
SMU Mustangs,SMU Mustangs
Sacred Heart Pioneers,Sacred Heart Pioneers
Saint Francis Red Flash,Saint Francis Red Flash
Saint Louis Billikens,Saint Louis Billikens
Saint Mary's Gaels,Saint Mary's Gaels
Saint Peter's Peacocks,Saint Peter's Peacocks
Sam Houston Bearkats,Sam Houston Bearkats
San Diego State Aztecs,San Diego State Aztecs
San José State Spartans,San José State Spartans
Seton Hall Pirates,Seton Hall Pirates
Siena Saints,Siena Saints
South Carolina Gamecocks,South Carolina Gamecocks
South Carolina State Bulldogs,South Carolina State Bulldogs
South Dakota Coyotes,South Dakota Coyotes
South Dakota State Jackrabbits,South Dakota State Jackrabbits
South Florida Bulls,South Florida Bulls
Southern Jaguars,Southern Jaguars
Southern Miss Golden Eagles,Southern Miss Golden Eagles
St. John's Red Storm,St. John's Red Storm
Stanford Cardinal,Stanford Cardinal
Syracuse Orange,Syracuse Orange
TCU Horned Frogs,TCU Horned Frogs
Temple Owls,Temple Owls
Tennessee Volunteers,Tennessee Volunteers
Texas A&M Aggies,Texas A&M Aggies
Texas Longhorns,Texas Longhorns
Texas Southern Tigers,Texas Southern Tigers
Texas Tech Red Raiders,Texas Tech Red Raiders
Towson Tigers,Towson Tigers
Troy Trojans,Troy Trojans
Tulane Green Wave,Tulane Green Wave
Tulsa Golden Hurricane,Tulsa Golden Hurricane
UAB Blazers,UAB Blazers
UC Davis Aggies,UC Davis Aggies
UC San Diego Tritons,UC San Diego Tritons
UCF Knights,UCF Knights
UCLA Bruins,UCLA Bruins
UConn Huskies,UConn Huskies
UMass Lowell River Hawks,UMass Lowell River Hawks
UNC Wilmington Seahawks,UNC Wilmington Seahawks
USC Trojans,USC Trojans
UT Martin Skyhawks,UT Martin Skyhawks
UTSA Roadrunners,UTSA Roadrunners
Utah State Aggies,Utah State Aggies
Utah Tech Trailblazers,Utah Tech Trailblazers
Utah Utes,Utah Utes
VCU Rams,VCU Rams
VMI Keydets,VMI Keydets
Valparaiso Beacons,Valparaiso Beacons
Vanderbilt Commodores,Vanderbilt Commodores
Vermont Catamounts,Vermont Catamounts
Villanova Wildcats,Villanova Wildcats
Virginia Cavaliers,Virginia Cavaliers
Virginia Tech Hokies,Virginia Tech Hokies
Wake Forest Demon Deacons,Wake Forest Demon Deacons
Washington Huskies,Washington Huskies
West Georgia Wolves,West Georgia Wolves
West Virginia Mountaineers,West Virginia Mountaineers
Western Carolina Catamounts,Western Carolina Catamounts
Western Michigan Broncos,Western Michigan Broncos
Wichita State Shockers,Wichita State Shockers
Wisconsin Badgers,Wisconsin Badgers
Wofford Terriers,Wofford Terriers
Wright State Raiders,Wright State Raiders
Xavier Musketeers,Xavier Musketeers
Yale Bulldogs,Yale Bulldogs
nan,nan
,
towson,Towson Tigers
ucsandiegotritons,UC San Diego Tritons
iowastate,Iowa State Cyclones
syracuse,Syracuse Orange
stfrancisparedflash,Saint Francis (PA) Red Flash
troytrojans,Troy Trojans
