game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,pred_total,pred_margin,actual_total,actual_margin,market_total,spread_home,market_total_1h,market_total_2h,spread_home_1h,actual_total_1h,actual_total_2h,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,err_model_total_1h,err_model_total_2h,ats_result,actual_margin_1h,ats_result_1h,ml_model_p_home,home_win,brier_ml,logloss_ml,book,bet,line,price,pred_total_pick,edge,pick_result,no_pred
401823768,2025,2025-12-20,2025-12-21 03:30:00+00:00,2025-12-20 22:30,EST,Arizona Wildcats,San Diego State Aztecs,68,45,28,27,40,18,True,Mortgage Matchup Center,,,113,23,153.0,-13.5,74.205,78.795,-6.75,55,58,,,,,,,home_cover,1,home_cover,,1.0,,,,,,,,,,1
401817237,2025,2025-12-20,2025-12-21 01:10:00+00:00,2025-12-20 20:10,EST,Duke Blue Devils,Texas Tech Red Raiders,81,82,46,36,35,46,True,Madison Square Garden,,,163,-1,152.5,-8.5,73.96249999999999,78.53750000000001,-4.25,82,81,,,,,,,home_cover,10,home_cover,,0.0,,,,,,,,,,1
401823482,2025,2025-12-20,2025-12-20 23:30:00+00:00,2025-12-20 18:30,EST,Purdue Boilermakers,Auburn Tigers,88,60,46,32,42,28,True,Gainbridge Fieldhouse,,,148,28,153.0,-7.5,74.205,78.795,-3.75,78,70,,,,,,,home_cover,14,home_cover,,1.0,,,,,,,,,,1
401820294,2025,2025-12-20,2025-12-20 22:30:00+00:00,2025-12-20 17:30,EST,Arkansas Razorbacks,Houston Cougars,85,94,41,49,44,45,True,Prudential Center,,,179,-9,146.5,5.5,71.0525,75.4475,2.75,90,89,,,,,,,away_cover,-8,away_cover,,0.0,,,,,,,,,,1
401826874,2025,2025-12-20,2025-12-20 17:00:00+00:00,2025-12-20 12:00,EST,Michigan State Spartans,Oakland Golden Grizzlies,79,70,39,36,40,34,True,Little Caesars Arena,,,149,9,155.5,-19.5,75.4175,80.0825,-9.75,75,74,,,,,,,home_cover,3,home_cover,,1.0,,,,,,,,,,1
401817249,2025,2025-12-20,2025-12-20 17:00:00+00:00,2025-12-20 12:00,EST,Louisville Cardinals,Montana Grizzlies,94,54,42,20,52,34,False,KFC Yum! Center,,,148,40,167.5,-29.25,81.2375,86.2625,-14.625,62,86,,,,,,,home_cover,22,home_cover,,1.0,,,,,,,,,,1
401809307,2025,2025-12-20,2025-12-20 20:26:00+00:00,2025-12-20 15:26,EST,Ohio State Buckeyes,North Carolina Tar Heels,70,71,31,34,39,37,True,State Farm Arena,,,141,-1,152.5,2.5,73.96249999999999,78.53750000000001,1.25,65,76,,,,,,,away_cover,-3,away_cover,,0.0,,,,,,,,,,1
401809306,2025,2025-12-20,2025-12-20 17:30:00+00:00,2025-12-20 12:30,EST,Kentucky Wildcats,St. John's Red Storm,78,66,25,32,53,34,True,State Farm Arena,,,144,12,156.5,3.0,75.9025,80.5975,1.5,57,87,,,,,,,home_cover,-7,away_cover,,1.0,,,,,,,,,,1
401817514,2025,2025-12-20,2025-12-20 23:00:00+00:00,2025-12-20 18:00,EST,Virginia Cavaliers,Maryland Terrapins,80,72,24,19,56,53,False,John Paul Jones Arena,,,152,8,154.5,-15.5,74.9325,79.5675,-7.75,43,109,,,,,,,home_cover,5,home_cover,,1.0,,,,,,,,,,1
401823473,2025,2025-12-20,2025-12-20 17:00:00+00:00,2025-12-20 12:00,EST,Toledo Rockets,Lourdes University Gray Wolves,100,67,49,28,51,39,False,Savage Arena,,,167,33,,,,,,77,90,,,,,,,away_cover,21,away_cover,,1.0,,,,,,,,,,1
401811114,2025,2025-12-20,2025-12-20 17:00:00+00:00,2025-12-20 12:00,EST,Kansas State Wildcats,South Dakota Coyotes,106,76,57,34,49,42,False,Bramlage Coliseum,,,182,30,,,,,,91,91,,,,,,,away_cover,23,away_cover,,1.0,,,,,,,,,,1
401813444,2025,2025-12-20,2025-12-20 17:30:00+00:00,2025-12-20 12:30,EST,Dayton Flyers,Liberty Flames,61,64,33,29,28,35,False,UD Arena,,,125,-3,,,,,,62,63,,,,,,,away_cover,4,away_cover,,0.0,,,,,,,,,,1
401823373,2025,2025-12-20,2025-12-20 18:00:00+00:00,2025-12-20 13:00,EST,Detroit Mercy Titans,Siena Heights Saints,91,60,38,19,53,41,False,Calihan Hall,,,151,31,,,,,,57,94,,,,,,,away_cover,19,away_cover,,1.0,,,,,,,,,,1
401823006,2025,2025-12-20,2025-12-20 18:00:00+00:00,2025-12-20 13:00,EST,Youngstown State Penguins,South Carolina Upstate Spartans,74,65,40,28,34,37,False,Beeghly Center,,,139,9,,,,,,68,71,,,,,,,away_cover,12,away_cover,,1.0,,,,,,,,,,1
401822347,2025,2025-12-20,2025-12-20 18:00:00+00:00,2025-12-20 13:00,EST,Indiana Hoosiers,Chicago State Cougars,78,58,52,29,26,29,False,Simon Skjodt Assembly Hall,,,136,20,,,,,,81,55,,,,,,,away_cover,23,away_cover,,1.0,,,,,,,,,,1
401817205,2025,2025-12-20,2025-12-20 18:00:00+00:00,2025-12-20 13:00,EST,St. Bonaventure Bonnies,Le Moyne Dolphins,92,81,42,47,50,34,False,Reilly Center,,,173,11,,,,,,89,84,,,,,,,away_cover,-5,away_cover,,1.0,,,,,,,,,,1
401813769,2025,2025-12-20,2025-12-20 18:00:00+00:00,2025-12-20 13:00,EST,Western Michigan Broncos,Buffalo Bulls,71,88,28,41,43,47,False,University Arena (MI),,,159,-17,,,,,,69,90,,,,,,,away_cover,-13,away_cover,,0.0,,,,,,,,,,1
401813383,2025,2025-12-20,2025-12-20 18:00:00+00:00,2025-12-20 13:00,EST,Niagara Purple Eagles,Houghton Highlanders,81,58,41,20,40,38,False,Gallagher Center,,,139,23,,,,,,61,78,,,,,,,away_cover,21,away_cover,,1.0,,,,,,,,,,1
401812388,2025,2025-12-20,2025-12-20 18:00:00+00:00,2025-12-20 13:00,EST,Saint Francis Red Flash,Robert Morris Colonials,70,79,34,37,36,42,False,DeGol Arena,,,149,-9,,,,,,71,78,,,,,,,away_cover,-3,away_cover,,0.0,,,,,,,,,,1
401808581,2025,2025-12-20,2025-12-20 18:00:00+00:00,2025-12-20 13:00,EST,App State Mountaineers,Georgia State Panthers,63,70,28,31,35,39,False,Holmes Convocation Center,,,133,-7,,,,,,59,74,,,,,,,away_cover,-3,away_cover,,0.0,,,,,,,,,,1
401829446,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Northwestern State Demons,Southern-New Orleans Knights,108,55,50,30,58,25,False,Prather Coliseum,,,163,53,,,,,,80,83,,,,,,,away_cover,20,away_cover,,1.0,,,,,,,,,,1
401827913,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Utah State Aggies,Colorado State Rams,100,58,45,24,55,34,False,Dee Glen Smith Spectrum,,,158,42,,,,,,69,89,,,,,,,away_cover,21,away_cover,,1.0,,,,,,,,,,1
401827502,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,UNC Wilmington Seahawks,Howard Bison,66,67,27,38,39,29,False,Trask Coliseum,,,133,-1,,,,,,65,68,,,,,,,away_cover,-11,away_cover,,0.0,,,,,,,,,,1
401827056,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,North Carolina Central Eagles,Longwood Lancers,72,74,36,36,36,38,False,McDougald-McLendon Arena,,,146,-2,,,,,,72,74,,,,,,,away_cover,0,away_cover,,0.0,,,,,,,,,,1
401827044,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Prairie View A&M Panthers,Paul Quinn Tigers,100,64,41,36,59,28,False,William Nicks Building,,,164,36,,,,,,77,87,,,,,,,away_cover,5,away_cover,,1.0,,,,,,,,,,1
401826755,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Georgia Tech Yellow Jackets,Lafayette Leopards,95,81,49,43,46,38,False,McCamish Pavilion,,,176,14,137.5,-10.5,66.6875,70.8125,-5.25,92,84,,,,,,,home_cover,6,home_cover,,1.0,,,,,,,,,,1
401824954,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Lipscomb Bisons,Blue Mountain Toppers,123,60,57,22,66,38,False,Allen Arena,,,183,63,,,,,,79,104,,,,,,,away_cover,35,away_cover,,1.0,,,,,,,,,,1
401824310,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Vermont Catamounts,Iona Gaels,78,83,40,36,38,47,False,Patrick Gymnasium,,,161,-5,,,,,,76,85,,,,,,,away_cover,4,away_cover,,0.0,,,,,,,,,,1
401822396,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Lindenwood Lions,Harris-Stowe State Hornets,109,52,59,29,50,23,False,Hyland Arena,,,161,57,145.25,-12.5,70.44624999999999,74.80375000000001,-6.25,88,73,,,,,,,home_cover,30,home_cover,,1.0,,,,,,,,,,1
401820216,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Mercyhurst Lakers,Binghamton Bearcats,82,61,42,18,40,43,False,Mercyhurst Athletic Center,,,143,21,,,,,,60,83,,,,,,,away_cover,24,away_cover,,1.0,,,,,,,,,,1
401817526,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Virginia Tech Hokies,Elon Phoenix,82,81,35,43,37,29,False,Cassell Coliseum,,,163,1,,,,,,78,66,,,,,,,away_cover,-8,away_cover,,1.0,,,,,,,,,,1
401813772,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Ball State Cardinals,Miami (OH) RedHawks,77,86,36,40,41,46,False,Worthen Arena,,,163,-9,,,,,,76,87,,,,,,,away_cover,-4,away_cover,,0.0,,,,,,,,,,1
401813771,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Massachusetts Minutemen,Kent State Golden Flashes,59,69,24,35,35,34,False,Mullins Center,,,128,-10,,,,,,59,69,,,,,,,away_cover,-11,away_cover,,0.0,,,,,,,,,,1
401812610,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Harvard Crimson,Holy Cross Crusaders,81,53,41,24,40,29,False,Lavietes Pavilion,,,134,28,,,,,,65,69,,,,,,,away_cover,17,away_cover,,1.0,,,,,,,,,,1
401808587,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Troy Trojans,Marshall Thundering Herd,70,63,36,32,34,31,False,Trojan Arena,,,133,7,,,,,,68,65,,,,,,,away_cover,4,away_cover,,1.0,,,,,,,,,,1
401808583,2025,2025-12-20,2025-12-20 19:00:00+00:00,2025-12-20 14:00,EST,Old Dominion Monarchs,Coastal Carolina Chanticleers,74,76,29,34,45,42,False,Chartway Arena,,,150,-2,,,,,,63,87,,,,,,,away_cover,-5,away_cover,,0.0,,,,,,,,,,1
401830123,2025,2025-12-20,2025-12-20 20:00:00+00:00,2025-12-20 15:00,EST,UT Rio Grande Valley Vaqueros,College Of Biblical Studies Ambassadors,109,51,54,20,55,31,False,UTRGV Fieldhouse,,,160,58,,,,,,74,86,,,,,,,away_cover,34,away_cover,,1.0,,,,,,,,,,1
401826744,2025,2025-12-20,2025-12-20 20:00:00+00:00,2025-12-20 15:00,EST,Northern Colorado Bears,Denver Pioneers,79,86,40,40,39,46,False,Bank of Colorado Arena,,,165,-7,,,,,,80,85,,,,,,,away_cover,0,away_cover,,0.0,,,,,,,,,,1
401813770,2025,2025-12-20,2025-12-20 20:00:00+00:00,2025-12-20 15:00,EST,Northern Illinois Huskies,Central Michigan Chippewas,74,73,27,44,47,29,False,NIU Convocation Center,,,147,1,,,,,,71,76,,,,,,,away_cover,-17,away_cover,,1.0,,,,,,,,,,1
