game_id,home_team,away_team,period,market,book,pick,edge,line_value,predicted_value,fair_price,actual_total,actual_total_1h,actual_total_2h,actual_margin,actual_margin_1h,home_score,away_score,result,pnl_units
401806345,Eastern Illinois Panthers,SIU-Edwardsville Cougars,2h,moneyline,LowVig.ag,Eastern Illinois Panthers ML,51.98788698798948,215.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401806345,Eastern Illinois Panthers,SIU-Edwardsville Cougars,2h,moneyline,BetRivers,Eastern Illinois Panthers ML,51.21349806844092,210.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401806345,Eastern Illinois Panthers,SIU-Edwardsville Cougars,2h,moneyline,Fanatics,Eastern Illinois Panthers ML,51.21349806844092,210.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401806345,Eastern Illinois Panthers,SIU-Edwardsville Cougars,2h,moneyline,BetMGM,Eastern Illinois Panthers ML,49.58728133738895,200.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401820804,Charlotte 49ers,Lafayette Leopards,2h,moneyline,Caesars,Lafayette Leopards ML,47.29159734852896,460.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401820804,Charlotte 49ers,Lafayette Leopards,2h,moneyline,DraftKings,Lafayette Leopards ML,46.81674687419138,455.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401830220,Indiana St Sycamores,Bradley Braves,2h,moneyline,FanDuel,Indiana St Sycamores ML,46.74712817329819,184.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401820804,Charlotte 49ers,Lafayette Leopards,2h,moneyline,BetMGM,Lafayette Leopards ML,46.33326275486584,450.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401820804,Charlotte 49ers,Lafayette Leopards,2h,moneyline,Bovada,Lafayette Leopards ML,46.33326275486584,450.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401820804,Charlotte 49ers,Lafayette Leopards,2h,moneyline,Fanatics,Lafayette Leopards ML,46.33326275486584,450.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401830220,Indiana St Sycamores,Bradley Braves,2h,moneyline,BetMGM,Indiana St Sycamores ML,45.98637286148816,180.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
