game_id,season,date,start_time,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,source,_date,_home_key,_away_key,_fuse_key,_score_nonnull,_has_start,_quality
401581824,2023,2023-11-07,2023-11-07 23:30:00+00:00,App State Mountaineers,Oakland City Mighty Oaks,87,49,44.0,21.0,43.0,28.0,False,Holmes Convocation Center,espn,2023-11-07,appstatemountaineers,oaklandcitymightyoaks,2023-11-07|appstatemountaineers|oaklandcitymightyoaks,6,True,16
401588586,2023,2023-11-07,2023-11-08 00:00:00+00:00,Ball State Cardinals,Goshen Maple Leafs,101,40,48.0,14.0,53.0,26.0,False,Worthen Arena,espn,2023-11-07,ballstatecardinals,goshenmapleleafs,2023-11-07|ballstatecardinals|goshenmapleleafs,6,True,16
401583794,2023,2023-11-07,2023-11-08 02:00:00+00:00,Baylor Bears,Auburn Tigers,88,82,34.0,43.0,54.0,39.0,True,Sanford Pentagon,espn,2023-11-07,baylorbears,auburntigers,2023-11-07|baylorbears|auburntigers,6,True,16
401602689,2023,2023-11-07,2023-11-08 02:00:00+00:00,Boise State Broncos,Vanguard Lions,89,55,46.0,32.0,43.0,23.0,False,ExtraMile Arena,espn,2023-11-07,boisestatebroncos,vanguardlions,2023-11-07|boisestatebroncos|vanguardlions,6,True,16
401577591,2023,2023-11-07,2023-11-08 02:00:00+00:00,Creighton Bluejays,Florida A&M Rattlers,105,54,56.0,27.0,49.0,27.0,False,CHI Health Center Omaha,espn,2023-11-07,creightonbluejays,floridaamrattlers,2023-11-07|creightonbluejays|floridaamrattlers,6,True,16
401587157,2023,2023-11-07,2023-11-08 02:00:00+00:00,DePaul Blue Demons,Purdue Fort Wayne Mastodons,74,82,33.0,41.0,41.0,41.0,False,Wintrust Arena,espn,2023-11-07,depaulbluedemons,purduefortwaynemastodons,2023-11-07|depaulbluedemons|purduefortwaynemastodons,6,True,16
401608975,2023,2023-11-07,2023-11-08 00:00:00+00:00,Eastern Kentucky Colonels,WVU Tech Golden Bears,108,72,52.0,33.0,56.0,39.0,False,Baptist Health Arena,espn,2023-11-07,easternkentuckycolonels,wvutechgoldenbears,2023-11-07|easternkentuckycolonels|wvutechgoldenbears,6,True,16
401575479,2023,2023-11-07,2023-11-08 00:00:00+00:00,Georgetown Hoyas,Le Moyne Dolphins,94,57,47.0,23.0,47.0,34.0,False,Capital One Arena,espn,2023-11-07,georgetownhoyas,lemoynedolphins,2023-11-07|georgetownhoyas|lemoynedolphins,6,True,16
2023-11-07-0,2023,2023-11-07,,HOME,AWAY,,,,,,,,,ncaa,2023-11-07,home,away,2023-11-07|home|away,0,False,0
401577612,2023,2023-11-07,2023-11-07 23:30:00+00:00,Indiana Hoosiers,Florida Gulf Coast Eagles,69,63,28.0,26.0,41.0,37.0,False,Simon Skjodt Assembly Hall,espn,2023-11-07,indianahoosiers,floridagulfcoasteagles,2023-11-07|indianahoosiers|floridagulfcoasteagles,6,True,16
401597398,2023,2023-11-07,2023-11-08 01:00:00+00:00,Iowa Hawkeyes,North Dakota Fighting Hawks,110,68,56.0,32.0,54.0,36.0,False,Carver-Hawkeye Arena,espn,2023-11-07,iowahawkeyes,northdakotafightinghawks,2023-11-07|iowahawkeyes|northdakotafightinghawks,6,True,16
401597429,2023,2023-11-07,2023-11-07 17:30:00+00:00,Jacksonville State Gamecocks,Brescia Bearcats,91,41,48.0,21.0,43.0,20.0,False,Pete Mathews Coliseum,espn,2023-11-07,jacksonvillestategamecocks,bresciabearcats,2023-11-07|jacksonvillestategamecocks|bresciabearcats,6,True,16
401593909,2023,2023-11-07,2023-11-08 00:15:00+00:00,Kennesaw State Owls,Oakwood Ambassadors,93,46,57.0,20.0,36.0,26.0,False,KSU Convocation Center,espn,2023-11-07,kennesawstateowls,oakwoodambassadors,2023-11-07|kennesawstateowls|oakwoodambassadors,6,True,16
401593769,2023,2023-11-07,2023-11-07 23:30:00+00:00,La Salle Explorers,Drexel Dragons,67,61,32.0,32.0,35.0,29.0,False,Tom Gola Arena,espn,2023-11-07,lasalleexplorers,drexeldragons,2023-11-07|lasalleexplorers|drexeldragons,6,True,16
401590947,2023,2023-11-07,2023-11-08 03:00:00+00:00,Loyola Marymount Lions,Westcliff Warriors,109,68,46.0,34.0,63.0,34.0,False,Gersten Pavilion,espn,2023-11-07,loyolamarymountlions,westcliffwarriors,2023-11-07|loyolamarymountlions|westcliffwarriors,6,True,16
401577620,2023,2023-11-07,2023-11-08 00:00:00+00:00,Maryland Terrapins,Mount St. Mary's Mountaineers,68,53,33.0,19.0,35.0,34.0,False,XFINITY Center,espn,2023-11-07,marylandterrapins,mountstmarysmountaineers,2023-11-07|marylandterrapins|mountstmarysmountaineers,6,True,16
401581082,2023,2023-11-07,2023-11-08 00:00:00+00:00,Massachusetts Minutemen,UAlbany Great Danes,92,71,46.0,26.0,46.0,45.0,False,Mullins Center,espn,2023-11-07,massachusettsminutemen,ualbanygreatdanes,2023-11-07|massachusettsminutemen|ualbanygreatdanes,6,True,16
401577627,2023,2023-11-07,2023-11-08 01:30:00+00:00,Michigan Wolverines,UNC Asheville Bulldogs,99,74,48.0,32.0,51.0,42.0,False,Crisler Center,espn,2023-11-07,michiganwolverines,uncashevillebulldogs,2023-11-07|michiganwolverines|uncashevillebulldogs,6,True,16
401604765,2023,2023-11-07,2023-11-08 02:00:00+00:00,Montana Grizzlies,Northwest Indian RedHawks,107,59,54.0,22.0,53.0,37.0,False,Dahlberg Arena,espn,2023-11-07,montanagrizzlies,northwestindianredhawks,2023-11-07|montanagrizzlies|northwestindianredhawks,6,True,16
401590735,2023,2023-11-07,2023-11-08 03:00:00+00:00,Nevada Wolf Pack,Sacramento State Hornets,77,63,39.0,30.0,38.0,33.0,False,Lawlor Events Center,espn,2023-11-07,nevadawolfpack,sacramentostatehornets,2023-11-07|nevadawolfpack|sacramentostatehornets,6,True,16
401608973,2023,2023-11-07,2023-11-08 01:00:00+00:00,North Texas Mean Green,Northern Iowa Panthers,83,77,38.0,36.0,30.0,32.0,False,The Super Pit,espn,2023-11-07,northtexasmeangreen,northerniowapanthers,2023-11-07|northtexasmeangreen|northerniowapanthers,6,True,16
401593829,2023,2023-11-07,2023-11-08 01:00:00+00:00,Rice Owls,St. Thomas (TX) Celts,101,57,47.0,25.0,54.0,32.0,False,Tudor Fieldhouse,espn,2023-11-07,riceowls,stthomastxcelts,2023-11-07|riceowls|stthomastxcelts,6,True,16
401602182,2023,2023-11-07,2023-11-08 03:00:00+00:00,San José State Spartans,UC Irvine Anteaters,72,64,24.0,24.0,48.0,40.0,False,Provident Credit Union Event Center,espn,2023-11-07,sanjosstatespartans,ucirvineanteaters,2023-11-07|sanjosstatespartans|ucirvineanteaters,6,True,16
401587132,2023,2023-11-07,2023-11-08 00:00:00+00:00,St. John's Red Storm,Stony Brook Seawolves,90,74,41.0,30.0,49.0,44.0,False,Carnesecca Arena,espn,2023-11-07,stjohnsredstorm,stonybrookseawolves,2023-11-07|stjohnsredstorm|stonybrookseawolves,6,True,16
401604781,2023,2023-11-07,2023-11-08 01:30:00+00:00,Texas A&M-Corpus Christi Islanders,Southwestern Adventist Knights,111,46,56.0,23.0,55.0,23.0,False,Dugan Wellness Center,espn,2023-11-07,texasamcorpuschristiislanders,southwesternadventistknights,2023-11-07|texasamcorpuschristiislanders|southwesternadventistknights,6,True,16
401602969,2023,2023-11-07,2023-11-08 03:00:00+00:00,UC Riverside Highlanders,UC Merced Bobcats,76,69,41.0,32.0,35.0,37.0,False,SRC Arena,espn,2023-11-07,ucriversidehighlanders,ucmercedbobcats,2023-11-07|ucriversidehighlanders|ucmercedbobcats,6,True,16
401594069,2023,2023-11-07,2023-11-08 01:00:00+00:00,Vanderbilt Commodores,Presbyterian Blue Hose,62,68,28.0,24.0,34.0,44.0,False,Memorial Gymnasium (TN),espn,2023-11-07,vanderbiltcommodores,presbyterianbluehose,2023-11-07|vanderbiltcommodores|presbyterianbluehose,6,True,16
401604386,2023,2023-11-07,2023-11-08 02:00:00+00:00,Weber State Wildcats,Benedictine (AZ) Redhawks,96,62,46.0,25.0,50.0,37.0,False,Dee Events Center,espn,2023-11-07,weberstatewildcats,benedictineazredhawks,2023-11-07|weberstatewildcats|benedictineazredhawks,6,True,16
401583802,2023,2023-11-07,2023-11-08 00:00:00+00:00,Western Carolina Catamounts,Dalton State Roadrunners,106,65,51.0,30.0,55.0,35.0,False,Ramsey Center,espn,2023-11-07,westerncarolinacatamounts,daltonstateroadrunners,2023-11-07|westerncarolinacatamounts|daltonstateroadrunners,6,True,16
401601129,2023,2023-11-07,2023-11-08 01:30:00+00:00,Wyoming Cowboys,Northern New Mexico Eagles,104,56,48.0,34.0,56.0,22.0,False,Arena-Auditorium,espn,2023-11-07,wyomingcowboys,northernnewmexicoeagles,2023-11-07|wyomingcowboys|northernnewmexicoeagles,6,True,16
401602187,2023,2023-11-08,2023-11-09 01:00:00+00:00,Alcorn State Braves,Xavier (LA) Gold Nuggets,70,62,31.0,29.0,39.0,33.0,False,Davey L. Whitney Complex,espn,2023-11-08,alcornstatebraves,xavierlagoldnuggets,2023-11-08|alcornstatebraves|xavierlagoldnuggets,6,True,16
401604273,2023,2023-11-08,2023-11-08 21:00:00+00:00,Bryant Bulldogs,Fisher College Eagles,140,79,64.0,48.0,76.0,31.0,False,Chace Athletic Center,espn,2023-11-08,bryantbulldogs,fishercollegeeagles,2023-11-08|bryantbulldogs|fishercollegeeagles,6,True,16
401594170,2023,2023-11-08,2023-11-09 00:00:00+00:00,Cleveland State Vikings,Defiance Yellow Jackets,102,41,48.0,21.0,54.0,20.0,False,Wolstein Center,espn,2023-11-08,clevelandstatevikings,defianceyellowjackets,2023-11-08|clevelandstatevikings|defianceyellowjackets,6,True,16
401598575,2023,2023-11-08,2023-11-09 00:00:00+00:00,Cornell Big Red,SUNY Morrisville Mustangs,107,86,60.0,42.0,47.0,44.0,False,Newman Arena,espn,2023-11-08,cornellbigred,sunymorrisvillemustangs,2023-11-08|cornellbigred|sunymorrisvillemustangs,6,True,16
401597373,2023,2023-11-08,2023-11-09 00:00:00+00:00,Delaware Blue Hens,Goldey-Beacom Lightning,101,68,52.0,34.0,49.0,34.0,False,Bob Carpenter Center,espn,2023-11-08,delawarebluehens,goldeybeacomlightning,2023-11-08|delawarebluehens|goldeybeacomlightning,6,True,16
401593929,2023,2023-11-08,2023-11-09 01:00:00+00:00,Drake Bulldogs,Lipscomb Bisons,85,70,44.0,48.0,41.0,22.0,False,Knapp Center,espn,2023-11-08,drakebulldogs,lipscombbisons,2023-11-08|drakebulldogs|lipscombbisons,6,True,16
401587233,2023,2023-11-08,2023-11-09 01:00:00+00:00,Eastern Illinois Panthers,Monmouth (IL) Fighting Scots,91,45,49.0,24.0,42.0,21.0,False,Groniger Arena,espn,2023-11-08,easternillinoispanthers,monmouthilfightingscots,2023-11-08|easternillinoispanthers|monmouthilfightingscots,6,True,16
401587224,2023,2023-11-08,2023-11-09 00:00:00+00:00,Fairleigh Dickinson Knights,Penn State (Brandywine) Lions,107,63,53.0,26.0,54.0,37.0,False,Bogota Savings Bank Center,espn,2023-11-08,fairleighdickinsonknights,pennstatebrandywinelions,2023-11-08|fairleighdickinsonknights|pennstatebrandywinelions,6,True,16
2023-11-08-0,2023,2023-11-08,,HOME,AWAY,,,,,,,,,ncaa,2023-11-08,home,away,2023-11-08|home|away,0,False,0
401576633,2023,2023-11-08,2023-11-09 00:00:00+00:00,Long Island University Sharks,Fisk Bulldogs,0,0,,,,,False,Steinberg Wellness Center,espn,2023-11-08,longislanduniversitysharks,fiskbulldogs,2023-11-08|longislanduniversitysharks|fiskbulldogs,2,True,12
401597840,2023,2023-11-08,2023-11-09 00:00:00+00:00,Loyola Chicago Ramblers,Florida Atlantic Owls,62,75,30.0,43.0,32.0,32.0,True,Wintrust Arena,espn,2023-11-08,loyolachicagoramblers,floridaatlanticowls,2023-11-08|loyolachicagoramblers|floridaatlanticowls,6,True,16
401577559,2023,2023-11-08,2023-11-08 23:00:00+00:00,Maine Black Bears,Maine-Presque Isle Owls,111,59,53.0,34.0,58.0,25.0,False,Skip Chappelle Court in Memorial Gymnasium,espn,2023-11-08,maineblackbears,mainepresqueisleowls,2023-11-08|maineblackbears|mainepresqueisleowls,6,True,16
401597957,2023,2023-11-08,2023-11-09 02:30:00+00:00,Mississippi State Bulldogs,Arizona State Sun Devils,71,56,39.0,18.0,32.0,38.0,True,Wintrust Arena,espn,2023-11-08,mississippistatebulldogs,arizonastatesundevils,2023-11-08|mississippistatebulldogs|arizonastatesundevils,6,True,16
401597950,2023,2023-11-08,2023-11-09 00:00:00+00:00,Morehead State Eagles,Shawnee State Bears,96,40,49.0,20.0,47.0,20.0,False,Ellis T. Johnson Arena,espn,2023-11-08,moreheadstateeagles,shawneestatebears,2023-11-08|moreheadstateeagles|shawneestatebears,6,True,16
401574604,2023,2023-11-08,2023-11-09 00:00:00+00:00,New Hampshire Wildcats,Curry College Colonels,115,38,59.0,19.0,56.0,19.0,False,Lundholm Gymnasium,espn,2023-11-08,newhampshirewildcats,currycollegecolonels,2023-11-08|newhampshirewildcats|currycollegecolonels,6,True,16
401604276,2023,2023-11-08,2023-11-09 02:00:00+00:00,New Mexico State Aggies,Sul Ross State Lobos,84,49,43.0,35.0,41.0,14.0,False,Pan American Center,espn,2023-11-08,newmexicostateaggies,sulrossstatelobos,2023-11-08|newmexicostateaggies|sulrossstatelobos,6,True,16
401597995,2023,2023-11-08,2023-11-09 01:00:00+00:00,North Dakota State Bison,Mount Marty College Lancers,93,66,50.0,41.0,43.0,25.0,False,Scheels Center,espn,2023-11-08,northdakotastatebison,mountmartycollegelancers,2023-11-08|northdakotastatebison|mountmartycollegelancers,6,True,16
401594010,2023,2023-11-08,2023-11-09 01:00:00+00:00,Northern Colorado Bears,Northern New Mexico Eagles,81,60,39.0,17.0,42.0,43.0,False,Bank of Colorado Arena,espn,2023-11-08,northerncoloradobears,northernnewmexicoeagles,2023-11-08|northerncoloradobears|northernnewmexicoeagles,6,True,16
401574578,2023,2023-11-08,2023-11-09 00:00:00+00:00,Ohio Bobcats,Troy Trojans,88,70,43.0,28.0,45.0,42.0,False,Convocation Center (OH),espn,2023-11-08,ohiobobcats,troytrojans,2023-11-08|ohiobobcats|troytrojans,6,True,16
401589361,2023,2023-11-08,2023-11-09 00:00:00+00:00,Pennsylvania Quakers,Bucknell Bison,80,61,53.0,33.0,27.0,28.0,False,The Palestra,espn,2023-11-08,pennsylvaniaquakers,bucknellbison,2023-11-08|pennsylvaniaquakers|bucknellbison,6,True,16
401583837,2023,2023-11-08,2023-11-09 02:00:00+00:00,Portland Pilots,Lewis & Clark Pioneers,89,72,44.0,28.0,45.0,44.0,False,Chiles Center,espn,2023-11-08,portlandpilots,lewisclarkpioneers,2023-11-08|portlandpilots|lewisclarkpioneers,6,True,16
401600250,2023,2023-11-08,2023-11-09 01:00:00+00:00,Saint Louis Billikens,Lincoln (MO) Blue Tigers,102,66,54.0,22.0,48.0,44.0,False,Chaifetz Arena,espn,2023-11-08,saintlouisbillikens,lincolnmobluetigers,2023-11-08|saintlouisbillikens|lincolnmobluetigers,6,True,16
401583813,2023,2023-11-08,2023-11-09 03:00:00+00:00,San Diego Toreros,Jackson State Tigers,87,61,35.0,39.0,52.0,22.0,False,Jenny Craig Pavilion,espn,2023-11-08,sandiegotoreros,jacksonstatetigers,2023-11-08|sandiegotoreros|jacksonstatetigers,6,True,16
401579108,2023,2023-11-08,2023-11-09 03:00:00+00:00,Santa Clara Broncos,Utah Tech Trailblazers,77,69,41.0,29.0,36.0,40.0,False,Leavey Center,espn,2023-11-08,santaclarabroncos,utahtechtrailblazers,2023-11-08|santaclarabroncos|utahtechtrailblazers,6,True,16
401598015,2023,2023-11-08,2023-11-09 03:00:00+00:00,Seattle U Redhawks,Prairie View A&M Panthers,71,60,39.0,27.0,32.0,33.0,False,Redhawk Center,espn,2023-11-08,seattleuredhawks,prairieviewampanthers,2023-11-08|seattleuredhawks|prairieviewampanthers,6,True,16
401591581,2023,2023-11-08,2023-11-09 00:00:00+00:00,SMU Mustangs,Western Illinois Leathernecks,90,53,48.0,22.0,42.0,31.0,False,Moody Coliseum (Dallas),espn,2023-11-08,smumustangs,westernillinoisleathernecks,2023-11-08|smumustangs|westernillinoisleathernecks,6,True,16
401590206,2023,2023-11-08,2023-11-09 01:00:00+00:00,South Dakota State Jackrabbits,Dakota Wesleyan Tigers,83,55,40.0,27.0,43.0,28.0,False,Frost Arena,espn,2023-11-08,southdakotastatejackrabbits,dakotawesleyantigers,2023-11-08|southdakotastatejackrabbits|dakotawesleyantigers,6,True,16
401586910,2023,2023-11-08,2023-11-09 00:00:00+00:00,Syracuse Orange,Canisius Golden Griffins,89,77,41.0,32.0,48.0,45.0,False,JMA Wireless Dome,espn,2023-11-08,syracuseorange,canisiusgoldengriffins,2023-11-08|syracuseorange|canisiusgoldengriffins,6,True,16
401597885,2023,2023-11-08,2023-11-09 01:00:00+00:00,Texas Tech Red Raiders,East Texas A&M Lions,73,46,41.0,17.0,32.0,29.0,False,United Supermarkets Arena,espn,2023-11-08,texastechredraiders,easttexasamlions,2023-11-08|texastechredraiders|easttexasamlions,6,True,16
401597296,2023,2023-11-08,2023-11-09 03:00:00+00:00,UNLV Rebels,Southern Jaguars,71,85,21.0,40.0,50.0,45.0,False,Thomas & Mack Center,espn,2023-11-08,unlvrebels,southernjaguars,2023-11-08|unlvrebels|southernjaguars,6,True,16
401600054,2023,2023-11-08,2023-11-08 23:30:00+00:00,Winthrop Eagles,Brevard Tornados,98,44,45.0,20.0,53.0,24.0,False,Winthrop Coliseum,espn,2023-11-08,winthropeagles,brevardtornados,2023-11-08|winthropeagles|brevardtornados,6,True,16
401604754,2023,2023-11-09,2023-11-10 01:00:00+00:00,Arkansas-Pine Bluff Golden Lions,Champion Christian Tigers,116,73,54.0,32.0,62.0,41.0,False,H.O. Clemmons Arena,espn,2023-11-09,arkansaspinebluffgoldenlions,championchristiantigers,2023-11-09|arkansaspinebluffgoldenlions|championchristiantigers,6,True,16
401610179,2023,2023-11-09,2023-11-09 17:00:00+00:00,Baylor Bears,John Brown Golden Eagles,96,70,47.0,34.0,49.0,36.0,False,Ferrell Center,espn,2023-11-09,baylorbears,johnbrowngoldeneagles,2023-11-09|baylorbears|johnbrowngoldeneagles,6,True,16
401584336,2023,2023-11-09,2023-11-10 00:00:00+00:00,Charleston Southern Buccaneers,North Florida Ospreys,70,81,37.0,33.0,33.0,48.0,False,Buccaneer Fieldhouse,espn,2023-11-09,charlestonsouthernbuccaneers,northfloridaospreys,2023-11-09|charlestonsouthernbuccaneers|northfloridaospreys,6,True,16
401597989,2023,2023-11-09,2023-11-10 01:00:00+00:00,Chicago State Cougars,Mercer Bears,61,66,30.0,33.0,31.0,33.0,False,Jones Convocation Center,espn,2023-11-09,chicagostatecougars,mercerbears,2023-11-09|chicagostatecougars|mercerbears,6,True,16
401587142,2023,2023-11-09,2023-11-10 01:00:00+00:00,Coppin State Eagles,Towson Tigers,49,70,24.0,35.0,25.0,35.0,False,Physical Education Complex,espn,2023-11-09,coppinstateeagles,towsontigers,2023-11-09|coppinstateeagles|towsontigers,6,True,16
401594592,2023,2023-11-09,2023-11-10 02:00:00+00:00,Denver Pioneers,Cal Poly Mustangs,97,76,51.0,33.0,46.0,43.0,False,Hamilton Gymnasium,espn,2023-11-09,denverpioneers,calpolymustangs,2023-11-09|denverpioneers|calpolymustangs,6,True,16
401588311,2023,2023-11-09,2023-11-10 00:00:00+00:00,Elon Phoenix,East Tennessee State Buccaneers,79,76,39.0,28.0,40.0,48.0,False,Schar Center,espn,2023-11-09,elonphoenix,easttennesseestatebuccaneers,2023-11-09|elonphoenix|easttennesseestatebuccaneers,6,True,16
401601498,2023,2023-11-09,2023-11-10 01:00:00+00:00,Evansville Purple Aces,University of Health Sciences & Pharmacy Eutectics,116,46,61.0,29.0,55.0,17.0,False,Ford Center,espn,2023-11-09,evansvillepurpleaces,universityofhealthsciencespharmacyeutectics,2023-11-09|evansvillepurpleaces|universityofhealthsciencespharmacyeutectics,6,True,16
401608781,2023,2023-11-09,2023-11-10 00:00:00+00:00,Florida International Panthers,Tarleton State Texans,65,82,38.0,44.0,27.0,38.0,False,Ocean Bank Convocation Center,espn,2023-11-09,floridainternationalpanthers,tarletonstatetexans,2023-11-09|floridainternationalpanthers|tarletonstatetexans,6,True,16
401604272,2023,2023-11-09,2023-11-10 00:30:00+00:00,Georgia Tech Yellow Jackets,Howard Bison,88,85,41.0,47.0,47.0,38.0,False,McCamish Pavilion,espn,2023-11-09,georgiatechyellowjackets,howardbison,2023-11-09|georgiatechyellowjackets|howardbison,6,True,16
401594189,2023,2023-11-09,2023-11-10 00:00:00+00:00,Green Bay Phoenix,St. Francis (IL) Fighting Saints,72,56,31.0,27.0,41.0,29.0,False,Resch Center,espn,2023-11-09,greenbayphoenix,stfrancisilfightingsaints,2023-11-09|greenbayphoenix|stfrancisilfightingsaints,6,True,16
401591551,2023,2023-11-09,2023-11-10 00:00:00+00:00,Hampton Pirates,Mid-Atlantic Christian Mustangs,109,46,53.0,21.0,56.0,25.0,False,Convocation Center (VA),espn,2023-11-09,hamptonpirates,midatlanticchristianmustangs,2023-11-09|hamptonpirates|midatlanticchristianmustangs,6,True,16
