game_id,season,date_game,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,start_time_iso,display_date,start_time_local_venue,start_tz_abbr_venue,source,pair_key,event_id,book,market,period,commence_time,last_update,home_team_name,away_team_name,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price,date_line,_day_diff,partial_pair,pred_total_full,pred_margin_full,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,pred_total,pred_margin,edge_total,edge_margin,edge_total_pct,edge_margin_pct,kelly_fraction_total,home_ml_prob_market,away_ml_prob_market,home_ml_prob_fair,away_ml_prob_fair,kelly_fraction_ml_home,kelly_fraction_ml_away,home_ml_ev,away_ml_ev,home_ml_b,away_ml_b
401809345,2026,2026-01-29,2026-01-29 22:00:00+00:00,2026-01-29 17:00,EST,Furman Paladins,Samford Bulldogs,0,0,,,,,False,Timmons Arena,2026-01-29T22:00:00Z,2026-01-29,,,,furmanpaladins::samford,fde64d143b014b41bbd8d14ce7cd263f,BetMGM,h2h,full_game,2026-01-29 22:00:00+00:00,2026-01-29 14:05:41+00:00,Furman Paladins,Samford Bulldogs,-285.0,225.0,,,,,,,,2026-01-29,0,False,145.16329956054688,2.186021566390991,71.13463,77.36702,1.0357852,1.5835173,145.16329956054688,2.186021566390991,,,,,,0.7402597402597403,0.3076923076923077,0.5774438315393237,0.4225561684606763,-0.626841248573604,0.1659144655543102,-0.2199442977451242,0.3733075474971981,0.3508771929824561,2.25
401809346,2026,2026-01-29,2026-01-30 00:00:00+00:00,2026-01-29 19:00,EST,Mercer Bears,UNC Greensboro Spartans,0,0,,,,,False,Hawkins Arena,2026-01-30T00:00:00Z,2026-01-29,,,,mercer::uncgreensboro,97c49c7415763df886d92971ef320a61,BetMGM,h2h,full_game,2026-01-30 00:00:00+00:00,2026-01-29 14:05:41+00:00,Mercer Bears,UNC Greensboro Spartans,-750.0,525.0,,,,,,,,2026-01-30,1,False,145.87030029296875,3.975116729736328,71.44583,77.57699,1.9679053,2.4316466,145.87030029296875,3.975116729736328,,,,,,0.8823529411764706,0.16,0.6382724252677202,0.3617275747322798,-1.0,0.2401518746812855,-0.2766245846965837,1.2607973420767489,0.1333333333333333,5.25
401809347,2026,2026-01-29,2026-01-30 00:00:00+00:00,2026-01-29 19:00,EST,The Citadel Bulldogs,VMI Keydets,0,0,,,,,False,McAlister Field House,2026-01-30T00:00:00Z,2026-01-29,,,,citadel::vmikeydets,756611c8d66452624c35c98e4f28237d,BetMGM,h2h,full_game,2026-01-30 00:00:00+00:00,2026-01-29 14:05:41+00:00,The Citadel Bulldogs,VMI Keydets,-140.0,115.0,,,,,,,,2026-01-30,1,False,140.67828369140625,1.0857582092285156,69.17399,76.36066,-0.3625083,1.7575672,140.67828369140625,1.0857582092285156,,,,,,0.5833333333333334,0.4651162790697674,0.5386995220011392,0.4613004779988607,-0.1071211471972658,-0.0071338889586516,-0.0765151051409041,-0.0082039723024494,0.7142857142857143,1.15
401812036,2026,2026-01-29,2026-01-30 00:00:00+00:00,2026-01-29 19:00,EST,Hofstra Pride,Charleston Cougars,0,0,,,,,False,David S. Mack Sports and Exhibition Complex,2026-01-30T00:00:00Z,2026-01-29,,,,charleston::hofstrapride,0414608c1154bbd8cb5de963309017d8,BetMGM,h2h,full_game,2026-01-30 00:00:00+00:00,2026-01-29 14:05:41+00:00,Hofstra Pride,Charleston Cougars,-190.0,155.0,,,,,,,,2026-01-30,1,False,144.67919921875,-3.174611091613769,70.9111,77.08925,-1.4311712,-1.2417438,144.67919921875,-3.174611091613769,,,,,,0.6551724137931034,0.392156862745098,0.3885251623065131,0.6114748376934869,-0.773277029311112,0.3608134426570267,-0.4069879101637431,0.5592608361183915,0.5263157894736842,1.55
401812037,2026,2026-01-29,2026-01-30 02:00:00+00:00,2026-01-29 21:00,EST,Towson Tigers,UNC Wilmington Seahawks,0,0,,,,,False,SECU Arena,2026-01-30T02:00:00Z,2026-01-29,,,,towson::uncwilmingtonseahawks,1c467fa13c290eff0931ae7a842b7acd,BetMGM,h2h,full_game,2026-01-30 02:00:00+00:00,2026-01-29 14:05:41+00:00,Towson Tigers,UNC Wilmington Seahawks,-120.0,100.0,,,,,,,,2026-01-30,1,False,143.1534881591797,1.546999216079712,70.26117,76.91423,0.3523705,1.5860004,143.1534881591797,1.546999216079712,,,,,,0.5454545454545454,0.5,0.5550261931342821,0.4449738068657178,0.0210576248954207,-0.1100523862685642,0.0175480207461839,-0.1100523862685642,0.8333333333333334,1.0
401812038,2026,2026-01-29,2026-01-30 00:00:00+00:00,2026-01-29 19:00,EST,Monmouth Hawks,North Carolina A&T Aggies,0,0,,,,,False,OceanFirst Bank Center,2026-01-30T00:00:00Z,2026-01-29,,,,monmouth::northcarolinaaandt,04c8a5d06b817975ff009480db036ca5,BetMGM,h2h,full_game,2026-01-30 00:00:00+00:00,2026-01-29 14:05:41+00:00,Monmouth Hawks,North Carolina A&T Aggies,-450.0,340.0,,,,,,,,2026-01-30,1,False,139.5098114013672,8.3629789352417,68.69777,76.35174,2.6396022,5.9185266,139.5098114013672,8.3629789352417,,,,,,0.8181818181818182,0.2272727272727272,0.7675826131534074,0.2324173868465926,-0.2782956276562595,0.0066577947426492,-0.0618434728125021,0.0226365021250075,0.2222222222222222,3.4
401812039,2026,2026-01-29,2026-01-30 00:00:00+00:00,2026-01-29 19:00,EST,Drexel Dragons,Hampton Pirates,0,0,,,,,False,Daskalakis Athletic Center,2026-01-30T00:00:00Z,2026-01-29,,,,drexel::hampton,8dcf9be7a8ca3dc9f79d6b0c3d935059,BetMGM,h2h,full_game,2026-01-30 00:00:00+00:00,2026-01-29 14:05:41+00:00,Drexel Dragons,Hampton Pirates,-185.0,150.0,,,,,,,,2026-01-30,1,False,143.0182342529297,14.008615493774414,70.23395,77.28894,5.835768,8.372847,143.0182342529297,14.008615493774414,,,,,,0.6491228070175439,0.4,0.8809262419367362,0.1190737580632638,0.6606397895196982,-0.4682104032278936,0.3571025889295666,-0.7023156048418404,0.5405405405405406,1.5
401812040,2026,2026-01-29,2026-01-30 00:00:00+00:00,2026-01-29 19:00,EST,Elon Phoenix,William & Mary Tribe,0,0,,,,,False,Schar Center,2026-01-30T00:00:00Z,2026-01-29,,,,elonphoenix::williamandmarytribe,061547b7425cc722126fe9c79448b981,BetMGM,h2h,full_game,2026-01-30 00:00:00+00:00,2026-01-29 14:05:41+00:00,Elon Phoenix,William & Mary Tribe,-102.0,-118.0,,,,,,,,2026-01-30,1,False,140.1798095703125,-4.300474643707275,68.95645,76.08546,-2.8263943,-1.0708005,140.1798095703125,-4.300474643707275,,,,,,0.504950495049505,0.5412844036697247,0.3510667418030475,0.6489332581969525,-0.310845181557844,0.2346745028693563,-0.3047501779978863,0.1988766973469121,0.9803921568627452,0.847457627118644
401812041,2026,2026-01-29,2026-01-30 00:00:00+00:00,2026-01-29 19:00,EST,Campbell Fighting Camels,Stony Brook Seawolves,0,0,,,,,False,John W. Pope Jr. Convocation Center,2026-01-30T00:00:00Z,2026-01-29,,,,campbellfighting::stonybrook,2667518e97dc86b123c8b41e25d6d6e8,BetMGM,h2h,full_game,2026-01-30 00:00:00+00:00,2026-01-29 14:05:41+00:00,Campbell Fighting Camels,Stony Brook Seawolves,-275.0,220.0,,,,,,,,2026-01-30,1,False,143.12759399414062,4.905370712280273,70.27179,77.02455,1.8510189,3.4222193,143.12759399414062,4.905370712280273,,,,,,0.7333333333333333,0.3125,0.6683578582190479,0.3316421417809521,-0.2436580316785702,0.0278431153177485,-0.0886029206103891,0.0612548536990467,0.3636363636363636,2.2
401812134,2026,2026-01-29,2026-01-29 23:00:00+00:00,2026-01-29 18:00,EST,Binghamton Bearcats,Bryant Bulldogs,0,0,,,,,False,Events Center (Binghamton),2026-01-29T23:00:00Z,2026-01-29,,,,binghamton::bryant,0ff8ab01e5c2bf94cded8e4000dbfd0d,BetMGM,h2h,full_game,2026-01-29 23:07:00+00:00,2026-01-29 14:05:41+00:00,Binghamton Bearcats,Bryant Bulldogs,105.0,-125.0,,,,,,,,2026-01-29,0,False,140.77865600585938,6.756693840026856,69.258514,76.58008,2.202584,4.835915,140.77865600585938,6.756693840026856,,,,,,0.4878048780487805,0.5555555555555556,0.7241701077862728,0.2758298922137272,0.4614749723446278,-0.6293827425191136,0.4845487209618592,-0.503506194015291,1.05,0.8
