pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
montanastate::utahstate,Utah State Aggies,Montana State Bobcats,2025-11-29T21:00:00Z,2025-11-29 21:00:00+00:00,,2025-11-29 21:00:00+00:00,2025-11-29 21:00:00+00:00,0.0
navymidshipmen::selouisiana,Navy Midshipmen,SE Louisiana Lions,2025-11-29T17:00:00Z,2025-11-29 17:00:00+00:00,,2025-11-29 17:00:00+00:00,2025-11-29 17:00:00+00:00,0.0
nebraska::uscupstate,Nebraska Cornhuskers,South Carolina Upstate Spartans,2025-11-29T19:00:00Z,2025-11-29 19:00:00+00:00,,2025-11-29 19:00:00+00:00,2025-11-29 19:00:00+00:00,0.0
northerncolorado::regiscoregis,Northern Colorado Bears,Regis (CO) REGIS UNIVERSITY,2025-11-30T06:00:00Z,2025-11-30 06:00:00+00:00,,2025-11-30 01:00:00+00:00,2025-11-30 01:00:00+00:00,300.0
northfloridaospreys::trinitycollegeofjacksonville,North Florida Ospreys,Trinity College of Jacksonville Eagles,2025-11-29T22:00:00Z,2025-11-29 22:00:00+00:00,,2025-11-29 22:00:00+00:00,2025-11-29 22:00:00+00:00,0.0
northwesternstate::southern,Northwestern State Demons,Southern Jaguars,2025-11-29T19:00:00Z,2025-11-29 19:00:00+00:00,,2025-11-29 19:00:00+00:00,2025-11-29 19:00:00+00:00,0.0
notredamemdgators::radford,Radford Highlanders,Notre Dame (MD) Gators,2025-11-29T19:30:00Z,2025-11-29 19:30:00+00:00,,2025-11-29 19:30:00+00:00,2025-11-29 19:30:00+00:00,0.0
pacific::sacramentostate,Pacific Tigers,Sacramento State Hornets,2025-11-30T08:00:00Z,2025-11-30 08:00:00+00:00,,2025-11-30 03:00:00+00:00,2025-11-30 03:00:00+00:00,300.0
pennstatenittany::sacredheart,Penn State Nittany Lions,Sacred Heart Pioneers,2025-11-29T23:00:00Z,2025-11-29 23:00:00+00:00,,2025-11-29 23:00:00+00:00,2025-11-29 23:00:00+00:00,0.0
seattleu::ucsantabarbaragauchos,UC Santa Barbara Gauchos,Seattle U Redhawks,2025-11-29T21:30:00Z,2025-11-29 21:30:00+00:00,,2025-11-29 21:30:00+00:00,2025-11-29 21:30:00+00:00,0.0
southcarolinastate::winthrop,Winthrop Eagles,South Carolina State Bulldogs,2025-11-29T21:00:00Z,2025-11-29 21:00:00+00:00,,2025-11-29 21:00:00+00:00,2025-11-29 21:00:00+00:00,0.0
southernutahthunderbirds::stetsonhatters,Stetson Hatters,Southern Utah Thunderbirds,2025-11-29T19:00:00Z,2025-11-29 19:00:00+00:00,,2025-11-29 19:00:00+00:00,2025-11-29 19:00:00+00:00,0.0
stephenfaustinlumberjacks::utarlington,UT Arlington Mavericks,Stephen F. Austin Lumberjacks,2025-11-29T20:00:00Z,2025-11-29 20:00:00+00:00,,2025-11-29 20:00:00+00:00,2025-11-29 20:00:00+00:00,0.0
tennesseestate::tennesseewesleyan,Tennessee State Tigers,Tennessee Wesleyan Bulldogs,2025-11-29T19:00:00Z,2025-11-29 19:00:00+00:00,,2025-11-29 19:00:00+00:00,2025-11-29 19:00:00+00:00,0.0
ucf::vmikeydets,UCF Knights,VMI Keydets,2025-11-29T18:00:00Z,2025-11-29 18:00:00+00:00,,2025-11-29 18:00:00+00:00,2025-11-29 18:00:00+00:00,0.0
valparaisobeacons::westernmichigan,Valparaiso Beacons,Western Michigan Broncos,2025-11-29T20:00:00Z,2025-11-29 20:00:00+00:00,,2025-11-29 20:00:00+00:00,2025-11-29 20:00:00+00:00,0.0
