date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,start_min,end_min,half,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end
2026-01-23,401807706,Lipscomb Bisons,Florida Gulf Coast Eagles,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,25,30,2,58.851,58.89325,109.14665931484316,-0.04225,46.0,59.0,72.0,46.0,59.0,72.0,105.52681063898862,109.19128740690962,112.68126528112008,-16.0,0.0,15.0
2026-01-23,401807706,Lipscomb Bisons,Florida Gulf Coast Eagles,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,30,35,2,68.8495,68.8495,126.8066426076406,0.0,55.0,69.0,83.0,55.0,69.0,83.0,122.55933978232756,126.86840588849569,131.1774719946638,-17.0,0.0,17.0
2026-01-23,401807706,Lipscomb Bisons,Florida Gulf Coast Eagles,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,35,40,2,77.523,77.4985,147.48448080066387,0.0245,63.0,78.0,92.0,63.0,77.0,92.0,144.92467396525737,147.48199291119158,150.02774027818492,-18.0,0.0,18.0
2026-01-23,401807708,Austin Peay Governors,Stetson Hatters,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,0,5,1,10.05,9.45875,16.88896487529794,0.59125,5.0,10.0,15.0,4.0,9.0,15.0,16.05017272341176,16.832133111386224,17.83751075306768,-6.0,1.0,7.0
2026-01-23,401807708,Austin Peay Governors,Stetson Hatters,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,5,10,1,19.7745,18.45975,34.262789157865114,1.31475,12.0,20.0,27.0,11.0,18.0,26.0,32.344709313824566,34.22279448056432,36.27161466246222,-8.0,1.0,10.0
2026-01-23,401807708,Austin Peay Governors,Stetson Hatters,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,10,15,1,29.41575,27.45925,52.49035599815612,1.9565,20.0,29.0,39.0,19.0,27.0,37.0,49.57170285318777,52.31867051904034,55.65427411328987,-9.0,2.0,13.0
2026-01-23,401807708,Austin Peay Governors,Stetson Hatters,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,15,20,1,37.26475,34.637,70.88875955773048,2.62775,26.0,37.0,49.0,24.0,35.0,45.0,68.0309758882678,70.736289758808,73.94884998007448,-9.0,3.0,15.0
2026-01-23,401807708,Austin Peay Governors,Stetson Hatters,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,20,25,2,47.18525,44.02475,89.4271871271186,3.1605,36.0,47.0,59.0,33.0,44.0,55.0,86.29842860295443,89.39110589207883,92.65559858615455,-10.0,3.0,17.0
2026-01-23,401807708,Austin Peay Governors,Stetson Hatters,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,25,30,2,56.779,52.9965,107.75612125558742,3.7825,44.0,57.0,70.0,41.0,53.0,65.0,104.47981727672548,107.6207973635149,111.2852741314359,-11.0,4.0,19.0
2026-01-23,401807708,Austin Peay Governors,Stetson Hatters,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,30,35,2,66.382,62.07775,124.9108074161447,4.30425,53.0,66.0,80.0,49.0,62.0,75.0,120.50740354129512,124.81646964746324,129.3307293777346,-11.0,4.0,21.0
2026-01-23,401807708,Austin Peay Governors,Stetson Hatters,2026-01-23 13:00,2026-01-23T18:00:00Z,CST,35,40,2,74.5165,69.6505,146.2284437645262,4.866,60.0,74.0,89.0,56.0,69.0,84.0,143.66337186070157,146.2091192276949,148.87058238409705,-12.0,5.0,22.0
2026-01-23,401808634,App State Mountaineers,UL Monroe Warhawks,2026-01-23 12:00,2026-01-23T17:00:00Z,CST,0,5,1,10.2215,10.16925,16.987491884182724,0.05225,5.0,10.0,15.0,5.0,10.0,15.0,16.161881350265254,16.94384173823972,17.83751075306768,-6.0,0.0,7.0
