event_id,book,fetched_at,last_update,commence_time,home_team_name,away_team_name,market,period,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price
7ea62a2319080b8532c9c69fd74f1d9a,FanDuel,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:57+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,totals,full_game,,,,,,,130.5,-110.0,-110.0
7ea62a2319080b8532c9c69fd74f1d9a,BetRivers,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:19:16+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,h2h,2h,-278.0,215.0,,,,,,,
7ea62a2319080b8532c9c69fd74f1d9a,BetRivers,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:19:16+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,spreads,full_game,,,-6.5,-109.0,6.5,-114.0,,,
7ea62a2319080b8532c9c69fd74f1d9a,BetRivers,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:19:16+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,totals,full_game,,,,,,,129.5,-113.0,-110.0
7ea62a2319080b8532c9c69fd74f1d9a,Bovada,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:56+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,h2h,2h,-290.0,240.0,,,,,,,
7ea62a2319080b8532c9c69fd74f1d9a,Bovada,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:56+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,spreads,full_game,,,-7.0,-105.0,7.0,-115.0,,,
7ea62a2319080b8532c9c69fd74f1d9a,Bovada,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:56+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,totals,full_game,,,,,,,130.5,-110.0,-110.0
7ea62a2319080b8532c9c69fd74f1d9a,Caesars,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:16:27+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,h2h,2h,-285.0,228.0,,,,,,,
7ea62a2319080b8532c9c69fd74f1d9a,Caesars,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:16:27+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,spreads,full_game,,,-6.5,-110.0,6.5,-110.0,,,
7ea62a2319080b8532c9c69fd74f1d9a,Caesars,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:16:27+00:00,2025-12-06 00:00:00+00:00,Brown Bears,Bryant Bulldogs,totals,full_game,,,,,,,130.5,-110.0,-110.0
8fdb07e2fc58b1f82171ed75556432bb,DraftKings,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:54+00:00,2025-12-06 00:00:00+00:00,Saint Peter's Peacocks,Canisius Golden Griffins,h2h,2h,-485.0,370.0,,,,,,,
8fdb07e2fc58b1f82171ed75556432bb,DraftKings,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:54+00:00,2025-12-06 00:00:00+00:00,Saint Peter's Peacocks,Canisius Golden Griffins,spreads,full_game,,,-9.5,-110.0,9.5,-110.0,,,
8fdb07e2fc58b1f82171ed75556432bb,DraftKings,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:54+00:00,2025-12-06 00:00:00+00:00,Saint Peter's Peacocks,Canisius Golden Griffins,totals,full_game,,,,,,,130.5,-105.0,-115.0
8fdb07e2fc58b1f82171ed75556432bb,BetOnline.ag,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:53+00:00,2025-12-06 00:00:00+00:00,Saint Peter's Peacocks,Canisius Golden Griffins,h2h,2h,-500.0,383.0,,,,,,,
8fdb07e2fc58b1f82171ed75556432bb,BetOnline.ag,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:53+00:00,2025-12-06 00:00:00+00:00,Saint Peter's Peacocks,Canisius Golden Griffins,spreads,full_game,,,-9.5,-110.0,9.5,-110.0,,,
8fdb07e2fc58b1f82171ed75556432bb,BetOnline.ag,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:53+00:00,2025-12-06 00:00:00+00:00,Saint Peter's Peacocks,Canisius Golden Griffins,totals,full_game,,,,,,,130.0,-107.0,-113.0
8fdb07e2fc58b1f82171ed75556432bb,LowVig.ag,2025-12-05 20:19:30.974273+00:00,2025-12-05 20:18:30+00:00,2025-12-06 00:00:00+00:00,Saint Peter's Peacocks,Canisius Golden Griffins,h2h,2h,-500.0,383.0,,,,,,,
