pair_key,home_team,away_team,our_start_display,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
centralstateohmarauders::duquesne,Duquesne Dukes,Central State (OH) Marauders,2025-11-26 17:00,2025-11-26T22:00:00Z,2025-11-26 22:00:00+00:00,,2025-11-26 23:00:00+00:00,2025-11-26 23:00:00+00:00,60.0
cincinnati::easternmichigan,Cincinnati Bearcats,Eastern Michigan Eagles,2025-11-26 19:00,2025-11-27T00:00:00Z,2025-11-27 00:00:00+00:00,,2025-11-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.0
citadel::houstonchristian,The Citadel Bulldogs,Houston Christian Huskies,2025-11-26 19:00,2025-11-27T00:00:00Z,2025-11-27 00:00:00+00:00,,2025-11-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.0
collegeofbiblicalstudiesambassadors::texassouthern,Texas Southern Tigers,College Of Biblical Studies Ambassadors,2025-11-25 23:00,2025-11-26T04:00:00Z,2025-11-26 04:00:00+00:00,,2025-11-26 05:00:00+00:00,2025-11-26 05:00:00+00:00,60.0
coloradostate::virginiatech,Virginia Tech Hokies,Colorado State Rams,2025-11-26 16:00,2025-11-26T21:00:00Z,2025-11-26 21:00:00+00:00,,2025-11-26 22:00:00+00:00,2025-11-26 22:00:00+00:00,60.0
columbia::fairfield,Fairfield Stags,Columbia Lions,2025-11-26 19:00,2025-11-27T00:00:00Z,2025-11-27 00:00:00+00:00,,2025-11-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.0
columbiainternational::presbyterianbluehose,Presbyterian Blue Hose,Columbia International Rams,2025-11-26 12:00,2025-11-26T17:00:00Z,2025-11-26 17:00:00+00:00,,2025-11-26 18:00:00+00:00,2025-11-26 18:00:00+00:00,60.0
cornellbigred::misericordia,Cornell Big Red,Misericordia Cougars,2025-11-26 11:00,2025-11-26T16:00:00Z,2025-11-26 16:00:00+00:00,,2025-11-26 17:00:00+00:00,2025-11-26 17:00:00+00:00,60.0
delawarestate::virginiastatetrojans,Delaware State Hornets,Virginia St Trojans,2025-11-26 13:30,2025-11-26T18:30:00Z,2025-11-26 18:30:00+00:00,,2025-11-26 19:30:00+00:00,2025-11-26 19:30:00+00:00,60.0
denver::wyoming,Wyoming Cowboys,Denver Pioneers,2025-11-26 20:30,2025-11-27T01:30:00Z,2025-11-27 01:30:00+00:00,,2025-11-27 01:30:00+00:00,2025-11-27 01:30:00+00:00,0.0
floridagulfcoast::kennesawstate,Florida Gulf Coast Eagles,Kennesaw State Owls,2025-11-26 19:00,2025-11-27T00:00:00Z,2025-11-27 00:00:00+00:00,,2025-11-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.0
floridainternational::omaha,Florida International Panthers,Omaha Mavericks,2025-11-26 13:00,2025-11-26T18:00:00Z,2025-11-26 18:00:00+00:00,,2025-11-26 19:00:00+00:00,2025-11-26 19:00:00+00:00,60.0
fresnostate::pepperdine,Fresno State Bulldogs,Pepperdine Waves,2025-11-26 19:00,2025-11-27T00:00:00Z,2025-11-27 00:00:00+00:00,,2025-11-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.0
gardnerwebbrunnin::navymidshipmen,Gardner-Webb Runnin' Bulldogs,Navy Midshipmen,2025-11-26 15:00,2025-11-26T20:00:00Z,2025-11-26 20:00:00+00:00,,2025-11-26 21:00:00+00:00,2025-11-26 21:00:00+00:00,60.0
georgiastate::newmexicostate,New Mexico State Aggies,Georgia State Panthers,2025-11-26 14:00,2025-11-26T19:00:00Z,2025-11-26 19:00:00+00:00,,2025-11-26 20:00:00+00:00,2025-11-26 20:00:00+00:00,60.0
holycrosscrusaders::worcesterstate,Holy Cross Crusaders,Worcester State Lancers,2025-11-26 13:00,2025-11-26T18:00:00Z,2025-11-26 18:00:00+00:00,,2025-11-26 19:00:00+00:00,2025-11-26 19:00:00+00:00,60.0
howard::stmarysmdseahawks,Howard Bison,St. Mary's (MD) Seahawks,2025-11-26 19:00,2025-11-27T00:00:00Z,2025-11-27 00:00:00+00:00,,2025-11-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.0
idahostate::samhoustonbearkats,Idaho State Bengals,Sam Houston Bearkats,2025-11-26 17:30,2025-11-26T22:30:00Z,2025-11-26 22:30:00+00:00,,2025-11-26 23:30:00+00:00,2025-11-26 23:30:00+00:00,60.0
incarnateword::texaslutheran,Incarnate Word Cardinals,Texas Lutheran Bulldogs,2025-11-26 14:00,2025-11-26T19:00:00Z,2025-11-26 19:00:00+00:00,,2025-11-26 20:00:00+00:00,2025-11-26 20:00:00+00:00,60.0
indianastate::louisianatech,Louisiana Tech Bulldogs,Indiana State Sycamores,2025-11-26 19:30,2025-11-27T00:30:00Z,2025-11-27 00:30:00+00:00,,2025-11-27 00:30:00+00:00,2025-11-27 00:30:00+00:00,0.0
jacksonvillestategamecocks::northdakotastate,Jacksonville State Gamecocks,North Dakota State Bison,2025-11-26 14:00,2025-11-26T19:00:00Z,2025-11-26 19:00:00+00:00,,2025-11-26 20:00:00+00:00,2025-11-26 20:00:00+00:00,60.0
kentucky::tennesseetechgolden,Kentucky Wildcats,Tennessee Tech Golden Eagles,2025-11-26 18:00,2025-11-26T23:00:00Z,2025-11-26 23:00:00+00:00,,2025-11-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,60.0
lipscomb::marshallthunderingherd,Marshall Thundering Herd,Lipscomb Bisons,2025-11-26 15:00,2025-11-26T20:00:00Z,2025-11-26 20:00:00+00:00,,2025-11-26 21:00:00+00:00,2025-11-26 21:00:00+00:00,60.0
longbeachstatebeach::portlandpilots,Portland Pilots,Long Beach State Beach,2025-11-26 22:00,2025-11-27T03:00:00Z,2025-11-27 03:00:00+00:00,,2025-11-27 03:00:00+00:00,2025-11-27 03:00:00+00:00,0.0
louisville::njit,Louisville Cardinals,NJIT Highlanders,2025-11-26 21:00,2025-11-27T02:00:00Z,2025-11-27 02:00:00+00:00,,2025-11-27 02:00:00+00:00,2025-11-27 02:00:00+00:00,0.0
manhattan::wagnerseahawks,Manhattan Jaspers,Wagner Seahawks,2025-11-26 16:00,2025-11-26T21:00:00Z,2025-11-26 21:00:00+00:00,,2025-11-26 22:00:00+00:00,2025-11-26 22:00:00+00:00,60.0
memphis::southernillinoissalukis,Memphis Tigers,Southern Illinois Salukis,2025-11-26 20:00,2025-11-27T01:00:00Z,2025-11-27 01:00:00+00:00,,2025-11-27 01:00:00+00:00,2025-11-27 01:00:00+00:00,0.0
miamioh::uncgreensboro,Miami (OH) RedHawks,UNC Greensboro Spartans,2025-11-26 13:00,2025-11-26T18:00:00Z,2025-11-26 18:00:00+00:00,,2025-11-26 19:00:00+00:00,2025-11-26 19:00:00+00:00,60.0
neworleans::texastechredraiders,Texas Tech Red Raiders,New Orleans Privateers,2025-11-26 12:00,2025-11-26T17:00:00Z,2025-11-26 17:00:00+00:00,,2025-11-26 18:00:00+00:00,2025-11-26 18:00:00+00:00,60.0
northernarizonalumberjacks::southeastmissouristate,Northern Arizona Lumberjacks,Southeast Missouri State Redhawks,2025-11-26 20:00,2025-11-27T01:00:00Z,2025-11-27 01:00:00+00:00,,2025-11-27 01:00:00+00:00,2025-11-27 01:00:00+00:00,0.0
northernkentucky::wofford,Northern Kentucky Norse,Wofford Terriers,2025-11-26 13:00,2025-11-26T18:00:00Z,2025-11-26 18:00:00+00:00,,2025-11-26 19:00:00+00:00,2025-11-26 19:00:00+00:00,60.0
oralrobertsgolden::rice,Rice Owls,Oral Roberts Golden Eagles,2025-11-26 15:30,2025-11-26T20:30:00Z,2025-11-26 20:30:00+00:00,,2025-11-26 21:30:00+00:00,2025-11-26 21:30:00+00:00,60.0
robertmorriscolonials::uicflames,Robert Morris Colonials,UIC Flames,2025-11-26 13:00,2025-11-26T18:00:00Z,2025-11-26 18:00:00+00:00,,2025-11-26 19:00:00+00:00,2025-11-26 19:00:00+00:00,60.0
samford::utahvalleywolverines,Utah Valley Wolverines,Samford Bulldogs,2025-11-26 17:00,2025-11-26T22:00:00Z,2025-11-26 22:00:00+00:00,,2025-11-26 23:00:00+00:00,2025-11-26 23:00:00+00:00,60.0
selouisiana::uncwilmingtonseahawks,UNC Wilmington Seahawks,SE Louisiana Lions,2025-11-26 19:00,2025-11-27T00:00:00Z,2025-11-27 00:00:00+00:00,,2025-11-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.0
southdakotastate::ucirvineanteaters,UC Irvine Anteaters,South Dakota State Jackrabbits,2025-11-26 20:30,2025-11-27T01:30:00Z,2025-11-27 01:30:00+00:00,,2025-11-27 01:30:00+00:00,2025-11-27 01:30:00+00:00,0.0
southernindianascreaming::valparaisobeacons,Valparaiso Beacons,Southern Indiana Screaming Eagles,2025-11-26 14:00,2025-11-26T19:00:00Z,2025-11-26 19:00:00+00:00,,2025-11-26 20:00:00+00:00,2025-11-26 20:00:00+00:00,60.0
southfloridabulls::vcu,South Florida Bulls,VCU Rams,2025-11-26 13:30,2025-11-26T18:30:00Z,2025-11-26 18:30:00+00:00,,2025-11-26 19:30:00+00:00,2025-11-26 19:30:00+00:00,60.0
stmarys::wichitastateshockers,Saint Mary's Gaels,Wichita State Shockers,2025-11-26 19:30,2025-11-27T00:30:00Z,2025-11-27 00:30:00+00:00,,2025-11-27 00:30:00+00:00,2025-11-27 00:30:00+00:00,0.0
stonehillskyhawks::umasslowellriver,Stonehill Skyhawks,UMass Lowell River Hawks,2025-11-26 11:00,2025-11-26T16:00:00Z,2025-11-26 16:00:00+00:00,,2025-11-26 17:00:00+00:00,2025-11-26 17:00:00+00:00,60.0
tbd::tbd,TBD,TBD,2025-11-26 23:59,2025-11-27T04:59:00Z,2025-11-27 04:59:00+00:00,,2025-11-27 04:59:00+00:00,2025-11-27 04:59:00+00:00,0.0
vanderbilt::westernkentuckyhilltoppers,Vanderbilt Commodores,Western Kentucky Hilltoppers,2025-11-26 11:00,2025-11-26T16:00:00Z,2025-11-26 16:00:00+00:00,,2025-11-26 17:00:00+00:00,2025-11-26 17:00:00+00:00,60.0
