date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,segment_probs_source,segment_probs_half1_len_passed,segment_probs_half2_len_passed,segment_probs_half1_hash_passed,segment_probs_half2_hash_passed,segment,half,start_min,end_min,mu_home_pts_seg,mu_away_pts_seg,mu_total_pts_seg,mu_margin_pts_seg,q10_home_pts_seg,q50_home_pts_seg,q90_home_pts_seg,q10_away_pts_seg,q50_away_pts_seg,q90_away_pts_seg,q10_total_pts_seg,q50_total_pts_seg,q90_total_pts_seg,q10_margin_pts_seg,q50_margin_pts_seg,q90_margin_pts_seg,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end,mu_home_poss_seg,mu_away_poss_seg,mu_total_poss_seg,q10_total_poss_seg,q50_total_poss_seg,q90_total_poss_seg,mu_home_tov_seg,mu_away_tov_seg,mu_total_tov_seg,q10_total_tov_seg,q50_total_tov_seg,q90_total_tov_seg,mu_home_fta_seg,mu_away_fta_seg,mu_total_fta_seg,q10_total_fta_seg,q50_total_fta_seg,q90_total_fta_seg,mu_home_fga2_seg,mu_away_fga2_seg,mu_total_fga2_seg,q10_total_fga2_seg,q50_total_fga2_seg,q90_total_fga2_seg,mu_home_fga3_seg,mu_away_fga3_seg,mu_total_fga3_seg,q10_total_fga3_seg,q50_total_fga3_seg,q90_total_fga3_seg
2026-02-08,401825502,Minnesota Golden Gophers,Maryland Terrapins,2026-02-08 14:00,2026-02-08T19:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,5,2,20,25,6.0875,6.169,12.2565,-0.0815,3.0,6.0,10.0,3.0,6.0,10.0,7.0,12.0,18.0,-5.0,0.0,4.0,49.24175,50.52425,96.93149839816118,-1.2825,38.0,49.0,60.0,39.0,50.0,62.0,76.96065015497999,96.57993237839096,117.43469040440311,-15.0,-1.0,12.0,5.6965,5.74,11.4365,7.0,11.0,16.0,1.0255,1.0175,2.043,0.0,2.0,4.0,1.08025,1.094,2.17425,0.0,2.0,4.0,2.62375,2.6835,5.30725,2.0,5.0,8.0,1.4885,1.51525,3.00375,1.0,3.0,5.0
2026-02-08,401825502,Minnesota Golden Gophers,Maryland Terrapins,2026-02-08 14:00,2026-02-08T19:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,6,2,25,30,5.9185,6.09125,12.00975,-0.17275,3.0,6.0,10.0,3.0,6.0,10.0,7.0,12.0,18.0,-5.0,0.0,4.0,55.16025,56.6155,108.00464447848508,-1.45525,44.0,55.0,67.0,45.0,56.0,68.0,85.81919799212272,107.05776243894464,130.76727849096898,-16.0,-2.0,13.0,5.63875,5.61175,11.2505,7.0,11.0,16.0,0.97025,0.96925,1.9395,0.0,2.0,4.0,1.04525,1.0505,2.09575,0.0,2.0,4.0,2.618,2.5865,5.2045,2.0,5.0,8.0,1.461,1.47825,2.93925,1.0,3.0,5.0
2026-02-08,401825502,Minnesota Golden Gophers,Maryland Terrapins,2026-02-08 14:00,2026-02-08T19:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,7,2,30,35,6.06775,6.2015,12.26925,-0.13375,3.0,6.0,10.0,3.0,6.0,10.0,7.0,12.0,18.0,-5.0,0.0,4.0,61.228,62.817,119.2801344646986,-1.589,49.0,61.0,74.0,51.0,63.0,75.0,102.83778914592048,118.99892817449212,136.41112196410842,-17.0,-2.0,14.0,5.70475,5.7515,11.45625,7.0,11.0,16.0,0.98325,1.00875,1.992,0.0,2.0,4.0,1.09525,1.07275,2.168,0.0,2.0,4.0,2.7215,2.6855,5.407,3.0,5.0,9.0,1.5345,1.50525,3.03975,1.0,3.0,5.0
2026-02-08,401825502,Minnesota Golden Gophers,Maryland Terrapins,2026-02-08 14:00,2026-02-08T19:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,8,2,35,40,6.78675,6.895,13.68175,-0.10825,3.0,7.0,11.0,3.0,7.0,11.0,8.0,13.0,20.0,-5.0,0.0,5.0,68.01475,69.712,137.72675,-1.69725,55.0,68.0,81.0,57.0,69.0,82.0,119.0,137.0,157.0,-18.0,-2.0,15.0,6.458,6.39475,12.85275,8.0,13.0,18.0,1.151,1.1435,2.2945,0.0,2.0,4.0,1.22825,1.21775,2.446,0.0,2.0,5.0,2.9915,3.00025,5.99175,3.0,6.0,9.0,1.70475,1.687,3.39175,1.0,3.0,6.0
2026-02-08,401825503,Ohio State Buckeyes,Michigan Wolverines,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,1,1,0,5,10.74725,10.705,21.45225,0.04225,6.0,10.0,15.0,6.0,11.0,16.0,15.0,21.0,28.0,-6.0,0.0,6.0,10.74725,10.705,21.20550761538746,0.04225,6.0,10.0,15.0,6.0,11.0,16.0,14.753257615387456,20.753257615387454,27.753257615387454,-6.0,0.0,6.0,11.0345,10.966,22.0005,16.0,22.0,28.0,1.8995,1.94875,3.84825,1.0,4.0,6.0,2.071,2.08775,4.15875,1.0,4.0,7.0,5.1365,5.14825,10.28475,6.0,10.0,14.0,2.92975,2.8725,5.80225,3.0,6.0,9.0
2026-02-08,401825503,Ohio State Buckeyes,Michigan Wolverines,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,2,1,5,10,10.9715,10.9025,21.874,0.069,6.0,11.0,16.0,6.0,11.0,16.0,15.0,22.0,29.0,-6.0,0.0,6.0,21.71875,21.6075,42.73770535053541,0.11125,15.0,21.0,29.0,15.0,21.0,29.0,32.41145535053539,42.4114553505354,54.4114553505354,-9.0,0.0,9.0,11.12675,11.2265,22.35325,16.0,22.0,28.0,1.933,1.965,3.898,1.0,4.0,7.0,2.1255,2.11125,4.23675,1.0,4.0,7.0,5.232,5.1785,10.4105,6.0,10.0,15.0,2.93975,2.883,5.82275,3.0,6.0,9.0
2026-02-08,401825503,Ohio State Buckeyes,Michigan Wolverines,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,3,1,10,15,11.473,11.20575,22.67875,0.26725,7.0,11.0,16.0,7.0,11.0,16.0,16.0,22.0,30.0,-6.0,0.0,7.0,33.19175,32.81325,64.61582075035399,0.3785,24.0,33.0,43.0,24.0,33.0,42.0,49.61082075035398,64.61082075035398,79.61082075035398,-11.0,0.0,12.0,11.556,11.55975,23.11575,17.0,23.0,30.0,2.019,2.03775,4.05675,2.0,4.0,7.0,2.2,2.1645,4.3645,2.0,4.0,7.0,5.4625,5.44325,10.90575,7.0,11.0,15.0,3.01975,3.0675,6.08725,3.0,6.0,9.0
2026-02-08,401825503,Ohio State Buckeyes,Michigan Wolverines,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,4,1,15,20,11.86675,11.7145,23.58125,0.15225,7.0,12.0,17.0,7.0,12.0,17.0,16.0,23.0,31.0,-6.0,0.0,7.0,45.0585,44.52775,89.8735865786333,0.53075,34.0,45.0,57.0,33.0,44.0,56.0,71.28733657863326,89.28733657863327,109.28733657863329,-13.0,1.0,14.0,11.98375,11.94875,23.9325,18.0,24.0,31.0,2.088,2.093,4.181,2.0,4.0,7.0,2.309,2.2815,4.5905,2.0,4.0,8.0,5.58925,5.617,11.20625,7.0,11.0,15.0,3.09925,3.124,6.22325,3.0,6.0,10.0
2026-02-08,401825503,Ohio State Buckeyes,Michigan Wolverines,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,5,2,20,25,6.3215,6.26825,12.58975,0.05325,3.0,6.0,10.0,3.0,6.0,10.0,8.0,12.0,18.0,-5.0,0.0,5.0,51.38,50.796,99.74784133002493,0.584,39.0,51.0,64.0,39.0,50.0,63.0,78.07838805628059,99.5508839835934,121.24111781220668,-14.0,1.0,16.0,6.024,6.10325,12.12725,8.0,12.0,17.0,1.05475,1.07275,2.1275,0.0,2.0,4.0,1.156,1.1485,2.3045,0.0,2.0,5.0,2.832,2.7605,5.5925,3.0,5.0,9.0,1.6035,1.56125,3.16475,1.0,3.0,6.0
2026-02-08,401825503,Ohio State Buckeyes,Michigan Wolverines,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,6,2,25,30,6.212,6.0745,12.2865,0.1375,3.0,6.0,10.0,3.0,6.0,10.0,7.0,12.0,18.0,-4.0,0.0,5.0,57.592,56.8705,111.50408034221256,0.7215,45.0,57.0,70.0,45.0,57.0,69.0,87.05467379472393,110.99966564934952,136.1801333065763,-15.0,1.0,16.0,5.8605,5.8985,11.759,7.0,12.0,16.0,1.0315,1.01325,2.04475,0.0,2.0,4.0,1.149,1.1285,2.2775,0.0,2.0,5.0,2.698,2.751,5.449,2.0,5.0,9.0,1.5325,1.52875,3.06125,1.0,3.0,6.0
