date,game_id,event_id,book,market,period,selection,line,price,edge,kelly,fractional,stake,ev
2025-11-15,401813437,50b4e738db02e89574068f193e615ca4,BetRivers,spreads,full_game,home,-20.5,-114.0,12.429848,0.3031670243902439,0.5,0.4881652540116196,
2025-11-15,401813437,50b4e738db02e89574068f193e615ca4,Bovada,spreads,full_game,home,-21.0,-110.0,11.929848,0.284044,0.5,0.4881652540116196,
2025-11-15,401813437,50b4e738db02e89574068f193e615ca4,Caesars,spreads,full_game,home,-21.0,-110.0,11.929848,0.284044,0.5,0.4881652540116196,
2025-11-15,401813437,50b4e738db02e89574068f193e615ca4,DraftKings,spreads,full_game,home,-21.5,-108.0,11.429848,0.26581041860465116,0.5,0.4881652540116196,
2025-11-15,401813437,50b4e738db02e89574068f193e615ca4,FanDuel,spreads,full_game,home,-20.5,-118.0,12.429848,0.3031670243902439,0.5,0.4881652540116196,
2025-11-15,401813437,50b4e738db02e89574068f193e615ca4,LowVig.ag,spreads,full_game,home,-21.5,-111.0,11.429848,0.26581041860465116,0.5,0.4881652540116196,
2025-11-15,401813447,91ee64ecc1d66cf7735deaf5b954bd03,BetMGM,spreads,full_game,home,-10.5,-110.0,15.209375,0.7242559523809524,0.5,0.4881652540116196,
2025-11-15,401813447,91ee64ecc1d66cf7735deaf5b954bd03,BetOnline.ag,spreads,full_game,home,-10.0,-115.0,15.709375,0.7854687499999999,0.5,0.4881652540116196,
2025-11-15,401813447,91ee64ecc1d66cf7735deaf5b954bd03,BetRivers,spreads,full_game,home,-10.5,-107.0,15.209375,0.7242559523809524,0.5,0.4881652540116196,
2025-11-15,401813447,91ee64ecc1d66cf7735deaf5b954bd03,BetUS,spreads,full_game,home,-10.5,-110.0,15.209375,0.7242559523809524,0.5,0.4881652540116196,
2025-11-15,401813447,91ee64ecc1d66cf7735deaf5b954bd03,Bovada,spreads,full_game,home,-10.0,-110.0,15.709375,0.7854687499999999,0.5,0.4881652540116196,
2025-11-15,401813447,91ee64ecc1d66cf7735deaf5b954bd03,Caesars,spreads,full_game,home,-10.5,-110.0,15.209375,0.7242559523809524,0.5,0.4881652540116196,
2025-11-15,401813447,91ee64ecc1d66cf7735deaf5b954bd03,DraftKings,spreads,full_game,home,-10.5,-108.0,15.209375,0.7242559523809524,0.5,0.4881652540116196,
2025-11-15,401813447,91ee64ecc1d66cf7735deaf5b954bd03,FanDuel,spreads,full_game,home,-10.5,-110.0,15.209375,0.7242559523809524,0.5,0.4881652540116196,
2025-11-15,401813447,91ee64ecc1d66cf7735deaf5b954bd03,LowVig.ag,spreads,full_game,home,-10.0,-111.0,15.709375,0.7854687499999999,0.5,0.4881652540116196,
2025-11-15,401820224,b1b0504dcc23e4014f1b71fb5fe261f8,BetMGM,spreads,full_game,home,3.5,-105.0,7.644483,1.0,0.5,0.4881652540116196,
2025-11-15,401820224,b1b0504dcc23e4014f1b71fb5fe261f8,BetOnline.ag,spreads,full_game,home,4.0,-110.0,8.144483000000001,1.0,0.5,0.4881652540116196,
2025-11-15,401820224,b1b0504dcc23e4014f1b71fb5fe261f8,BetRivers,spreads,full_game,home,3.5,-112.0,7.644483,1.0,0.5,0.4881652540116196,
2025-11-15,401820224,b1b0504dcc23e4014f1b71fb5fe261f8,BetUS,spreads,full_game,home,4.0,-110.0,8.144483000000001,1.0,0.5,0.4881652540116196,
2025-11-15,401820224,b1b0504dcc23e4014f1b71fb5fe261f8,Bovada,spreads,full_game,home,4.0,-115.0,8.144483000000001,1.0,0.5,0.4881652540116196,
2025-11-15,401820224,b1b0504dcc23e4014f1b71fb5fe261f8,Caesars,spreads,full_game,home,3.5,-110.0,7.644483,1.0,0.5,0.4881652540116196,
2025-11-15,401820224,b1b0504dcc23e4014f1b71fb5fe261f8,DraftKings,spreads,full_game,home,3.5,-108.0,7.644483,1.0,0.5,0.4881652540116196,
2025-11-15,401820224,b1b0504dcc23e4014f1b71fb5fe261f8,FanDuel,spreads,full_game,home,3.5,-105.0,7.644483,1.0,0.5,0.4881652540116196,
2025-11-15,401820224,b1b0504dcc23e4014f1b71fb5fe261f8,LowVig.ag,spreads,full_game,home,4.0,-106.0,8.144483000000001,1.0,0.5,0.4881652540116196,
2025-11-15,401820551,2c88580ba90a58e14e570672edcf0fb2,BetOnline.ag,spreads,full_game,home,10.5,-115.0,5.4418974,0.2591379714285714,0.5,0.4881652540116196,
2025-11-15,401820551,2c88580ba90a58e14e570672edcf0fb2,BetRivers,spreads,full_game,home,10.5,-114.0,5.4418974,0.2591379714285714,0.5,0.4881652540116196,
2025-11-15,401820551,2c88580ba90a58e14e570672edcf0fb2,BetUS,spreads,full_game,home,11.0,-110.0,5.9418974,0.27008624545454546,0.5,0.4881652540116196,
2025-11-15,401820551,2c88580ba90a58e14e570672edcf0fb2,Bovada,spreads,full_game,home,11.0,-110.0,5.9418974,0.27008624545454546,0.5,0.4881652540116196,
2025-11-15,401820551,2c88580ba90a58e14e570672edcf0fb2,Caesars,spreads,full_game,home,10.5,-110.0,5.4418974,0.2591379714285714,0.5,0.4881652540116196,
2025-11-15,401820551,2c88580ba90a58e14e570672edcf0fb2,DraftKings,spreads,full_game,home,10.5,-105.0,5.4418974,0.2591379714285714,0.5,0.4881652540116196,
2025-11-15,401820551,2c88580ba90a58e14e570672edcf0fb2,FanDuel,spreads,full_game,home,10.5,-106.0,5.4418974,0.2591379714285714,0.5,0.4881652540116196,
2025-11-15,401820551,2c88580ba90a58e14e570672edcf0fb2,Fanatics,spreads,full_game,home,11.0,-110.0,5.9418974,0.27008624545454546,0.5,0.4881652540116196,
2025-11-15,401820551,2c88580ba90a58e14e570672edcf0fb2,LowVig.ag,spreads,full_game,home,10.5,-111.0,5.4418974,0.2591379714285714,0.5,0.4881652540116196,
2025-11-15,401822340,ee2fa9f1356780f93252a7a8fc1ca0ea,BetMGM,spreads,full_game,home,10.5,-105.0,11.1189723,0.5294748714285714,0.5,0.4881652540116196,
2025-11-15,401822340,ee2fa9f1356780f93252a7a8fc1ca0ea,BetOnline.ag,spreads,full_game,home,10.5,-110.0,11.1189723,0.5294748714285714,0.5,0.4881652540116196,
2025-11-15,401822340,ee2fa9f1356780f93252a7a8fc1ca0ea,BetRivers,spreads,full_game,home,11.0,-114.0,11.6189723,0.5281351045454545,0.5,0.4881652540116196,
2025-11-15,401822340,ee2fa9f1356780f93252a7a8fc1ca0ea,Bovada,spreads,full_game,home,11.0,-110.0,11.6189723,0.5281351045454545,0.5,0.4881652540116196,
2025-11-15,401822340,ee2fa9f1356780f93252a7a8fc1ca0ea,Caesars,spreads,full_game,home,10.5,-110.0,11.1189723,0.5294748714285714,0.5,0.4881652540116196,
2025-11-15,401822340,ee2fa9f1356780f93252a7a8fc1ca0ea,DraftKings,spreads,full_game,home,10.5,-108.0,11.1189723,0.5294748714285714,0.5,0.4881652540116196,
2025-11-15,401822340,ee2fa9f1356780f93252a7a8fc1ca0ea,FanDuel,spreads,full_game,home,10.5,-108.0,11.1189723,0.5294748714285714,0.5,0.4881652540116196,
2025-11-15,401822340,ee2fa9f1356780f93252a7a8fc1ca0ea,Fanatics,spreads,full_game,home,11.0,-110.0,11.6189723,0.5281351045454545,0.5,0.4881652540116196,
2025-11-15,401822340,ee2fa9f1356780f93252a7a8fc1ca0ea,LowVig.ag,spreads,full_game,home,10.5,-106.0,11.1189723,0.5294748714285714,0.5,0.4881652540116196,
