pair_key,home_team,away_team,our_start_display,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
coppinstate::vcu,VCU Rams,Coppin State Eagles,2025-11-23 00:30,2025-11-23T05:30:00Z,2025-11-23 05:30:00+00:00,,2025-11-23 00:30:00+00:00,2025-11-23 00:30:00+00:00,300.0
dayton::northcarolinacentral,Dayton Flyers,North Carolina Central Eagles,2025-11-22 19:00,2025-11-23T00:00:00Z,2025-11-23 00:00:00+00:00,,2025-11-22 19:00:00+00:00,2025-11-22 19:00:00+00:00,300.0
duquesne::northeastern,Duquesne Dukes,Northeastern Huskies,2025-11-22 21:00,2025-11-23T02:00:00Z,2025-11-23 02:00:00+00:00,,2025-11-22 21:00:00+00:00,2025-11-22 21:00:00+00:00,300.0
easternkentuckycolonels::mercer,Eastern Kentucky Colonels,Mercer Bears,2025-11-22 20:00,2025-11-23T01:00:00Z,2025-11-23 01:00:00+00:00,,2025-11-22 20:00:00+00:00,2025-11-22 20:00:00+00:00,300.0
easternoregon::idahovandals,Idaho Vandals,Eastern Oregon Mountaineers,2025-11-23 02:00,2025-11-23T07:00:00Z,2025-11-23 07:00:00+00:00,,2025-11-23 02:00:00+00:00,2025-11-23 02:00:00+00:00,300.0
fairfield::lemoyne,Le Moyne Dolphins,Fairfield Stags,2025-11-22 18:00,2025-11-22T23:00:00Z,2025-11-22 23:00:00+00:00,,2025-11-22 18:00:00+00:00,2025-11-22 18:00:00+00:00,300.0
gardnerwebbrunnin::richmond,Richmond Spiders,Gardner-Webb Runnin' Bulldogs,2025-11-23 00:00,2025-11-23T05:00:00Z,2025-11-23 05:00:00+00:00,,2025-11-23 00:00:00+00:00,2025-11-23 00:00:00+00:00,300.0
georgetownhoyas::wagnerseahawks,Georgetown Hoyas,Wagner Seahawks,2025-11-22 17:00,2025-11-22T22:00:00Z,2025-11-22 22:00:00+00:00,,2025-11-22 17:00:00+00:00,2025-11-22 17:00:00+00:00,300.0
greenbayphoenix::massachusetts,Massachusetts Minutemen,Green Bay Phoenix,2025-11-22 20:00,2025-11-23T01:00:00Z,2025-11-23 01:00:00+00:00,,2025-11-22 20:00:00+00:00,2025-11-22 20:00:00+00:00,300.0
highpoint::incarnateword,High Point Panthers,Incarnate Word Cardinals,2025-11-23 00:00,2025-11-23T05:00:00Z,2025-11-23 05:00:00+00:00,,2025-11-23 00:00:00+00:00,2025-11-23 00:00:00+00:00,300.0
howard::niagarapurple,Howard Bison,Niagara Purple Eagles,2025-11-22 21:00,2025-11-23T02:00:00Z,2025-11-23 02:00:00+00:00,,2025-11-22 21:00:00+00:00,2025-11-22 21:00:00+00:00,300.0
howardpayneyellowjackets::texasaandmcorpuschristi,Texas A&M-Corpus Christi Islanders,Howard Payne Yellow Jackets,2025-11-22 19:00,2025-11-23T00:00:00Z,2025-11-23 00:00:00+00:00,,2025-11-22 19:00:00+00:00,2025-11-22 19:00:00+00:00,300.0
illinoisfightingillini::longisland,Illinois Fighting Illini,Long Island University Sharks,2025-11-22 19:00,2025-11-23T00:00:00Z,2025-11-23 00:00:00+00:00,,2025-11-22 19:00:00+00:00,2025-11-22 19:00:00+00:00,300.0
iona::oregonstatebeavers,Oregon State Beavers,Iona Gaels,2025-11-22 22:30,2025-11-23T03:30:00Z,2025-11-23 03:30:00+00:00,,2025-11-22 22:30:00+00:00,2025-11-22 22:30:00+00:00,300.0
lancasaterbiblecollegechargers::lasalle,La Salle Explorers,Lancasater Bible College Chargers,2025-11-22 22:00,2025-11-23T03:00:00Z,2025-11-23 03:00:00+00:00,,2025-11-22 22:00:00+00:00,2025-11-22 22:00:00+00:00,300.0
lipscomb::westerncarolinacatamounts,Lipscomb Bisons,Western Carolina Catamounts,2025-11-22 22:00,2025-11-23T03:00:00Z,2025-11-23 03:00:00+00:00,,2025-11-22 22:00:00+00:00,2025-11-22 22:00:00+00:00,300.0
milwaukee::wichitastateshockers,Wichita State Shockers,Milwaukee Panthers,2025-11-23 00:00,2025-11-23T05:00:00Z,2025-11-23 05:00:00+00:00,,2025-11-23 00:00:00+00:00,2025-11-23 00:00:00+00:00,300.0
minnesotagolden::sanfrancisco,Minnesota Golden Gophers,San Francisco Dons,2025-11-22 22:30,2025-11-23T03:30:00Z,2025-11-23 03:30:00+00:00,,2025-11-22 22:30:00+00:00,2025-11-22 22:30:00+00:00,300.0
missouristate::utriograndevalley,Missouri State Bears,UT Rio Grande Valley Vaqueros,2025-11-22 22:00,2025-11-23T03:00:00Z,2025-11-23 03:00:00+00:00,,2025-11-22 22:00:00+00:00,2025-11-22 22:00:00+00:00,300.0
moreheadstate::ulmonroewarhawks,UL Monroe Warhawks,Morehead State Eagles,2025-11-23 00:00,2025-11-23T05:00:00Z,2025-11-23 05:00:00+00:00,,2025-11-23 00:00:00+00:00,2025-11-23 00:00:00+00:00,300.0
navymidshipmen::njit,Navy Midshipmen,NJIT Highlanders,2025-11-22 17:00,2025-11-22T22:00:00Z,2025-11-22 22:00:00+00:00,,2025-11-22 17:00:00+00:00,2025-11-22 17:00:00+00:00,300.0
nevadawolfpack::ucsantabarbaragauchos,Nevada Wolf Pack,UC Santa Barbara Gauchos,2025-11-22 22:00,2025-11-23T03:00:00Z,2025-11-23 03:00:00+00:00,,2025-11-22 22:00:00+00:00,2025-11-22 22:00:00+00:00,300.0
newhavenchargers::vermontstatelyndon,New Haven Chargers,Vermont State - Lyndon Hornets,2025-11-22 18:00,2025-11-22T23:00:00Z,2025-11-22 23:00:00+00:00,,2025-11-22 18:00:00+00:00,2025-11-22 18:00:00+00:00,300.0
nichollscolonels::oklahomastate,Oklahoma State Cowboys,Nicholls Colonels,2025-11-22 19:00,2025-11-23T00:00:00Z,2025-11-23 00:00:00+00:00,,2025-11-22 19:00:00+00:00,2025-11-22 19:00:00+00:00,300.0
nobel::southernutahthunderbirds,Southern Utah Thunderbirds,Nobel Knights,2025-11-23 01:30,2025-11-23T06:30:00Z,2025-11-23 06:30:00+00:00,,2025-11-23 01:30:00+00:00,2025-11-23 01:30:00+00:00,300.0
northerncolorado::portlandpilots,Portland Pilots,Northern Colorado Bears,2025-11-23 01:00,2025-11-23T06:00:00Z,2025-11-23 06:00:00+00:00,,2025-11-23 01:00:00+00:00,2025-11-23 01:00:00+00:00,300.0
northerniowa::ucirvineanteaters,UC Irvine Anteaters,Northern Iowa Panthers,2025-11-23 03:30,2025-11-23T08:30:00Z,2025-11-23 08:30:00+00:00,,2025-11-23 03:30:00+00:00,2025-11-23 03:30:00+00:00,300.0
northfloridaospreys::southernmissgolden,North Florida Ospreys,Southern Miss Golden Eagles,2025-11-23 01:00,2025-11-23T06:00:00Z,2025-11-23 06:00:00+00:00,,2025-11-23 01:00:00+00:00,2025-11-23 01:00:00+00:00,300.0
pennstatenittany::providence,Penn State Nittany Lions,Providence Friars,2025-11-22 21:00,2025-11-23T02:00:00Z,2025-11-23 02:00:00+00:00,,2025-11-22 21:00:00+00:00,2025-11-22 21:00:00+00:00,300.0
prairieviewaandm::utmartinskyhawks,Prairie View A&M Panthers,UT Martin Skyhawks,2025-11-22 22:00,2025-11-23T03:00:00Z,2025-11-23 03:00:00+00:00,,2025-11-22 22:00:00+00:00,2025-11-22 22:00:00+00:00,300.0
saintpeters::umasslowellriver,Saint Peter's Peacocks,UMass Lowell River Hawks,2025-11-22 19:00,2025-11-23T00:00:00Z,2025-11-23 00:00:00+00:00,,2025-11-22 19:00:00+00:00,2025-11-22 19:00:00+00:00,300.0
samhoustonbearkats::schreiner,Sam Houston Bearkats,Schreiner Mountaineers,2025-11-22 20:30,2025-11-23T01:30:00Z,2025-11-23 01:30:00+00:00,,2025-11-22 20:30:00+00:00,2025-11-22 20:30:00+00:00,300.0
southernindianascreaming::uicflames,UIC Flames,Southern Indiana Screaming Eagles,2025-11-22 22:00,2025-11-23T03:00:00Z,2025-11-23 03:00:00+00:00,,2025-11-22 22:00:00+00:00,2025-11-22 22:00:00+00:00,300.0
stetsonhatters::vmikeydets,Stetson Hatters,VMI Keydets,2025-11-23 00:00,2025-11-23T05:00:00Z,2025-11-23 05:00:00+00:00,,2025-11-23 00:00:00+00:00,2025-11-23 00:00:00+00:00,300.0
utarlington::weberstate,Weber State Wildcats,UT Arlington Mavericks,2025-11-23 02:00,2025-11-23T07:00:00Z,2025-11-23 07:00:00+00:00,,2025-11-23 02:00:00+00:00,2025-11-23 02:00:00+00:00,300.0
