date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,segment,half,start_min,end_min,mu_home_pts_seg,mu_away_pts_seg,mu_total_pts_seg,mu_margin_pts_seg,q10_home_pts_seg,q50_home_pts_seg,q90_home_pts_seg,q10_away_pts_seg,q50_away_pts_seg,q90_away_pts_seg,q10_total_pts_seg,q50_total_pts_seg,q90_total_pts_seg,q10_margin_pts_seg,q50_margin_pts_seg,q90_margin_pts_seg,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end,mu_home_poss_seg,mu_away_poss_seg,mu_total_poss_seg,q10_total_poss_seg,q50_total_poss_seg,q90_total_poss_seg,mu_home_tov_seg,mu_away_tov_seg,mu_total_tov_seg,q10_total_tov_seg,q50_total_tov_seg,q90_total_tov_seg,mu_home_fta_seg,mu_away_fta_seg,mu_total_fta_seg,q10_total_fta_seg,q50_total_fta_seg,q90_total_fta_seg,mu_home_fga2_seg,mu_away_fga2_seg,mu_total_fga2_seg,q10_total_fga2_seg,q50_total_fga2_seg,q90_total_fga2_seg,mu_home_fga3_seg,mu_away_fga3_seg,mu_total_fga3_seg,q10_total_fga3_seg,q50_total_fga3_seg,q90_total_fga3_seg
2026-02-05,401805188,California Baptist Lancers,Tarleton State Texans,2026-02-05 22:00,2026-02-06T03:00:00Z,EST,5,2,20,25,9.4895,9.827,19.3165,-0.3375,5.0,9.0,14.0,6.0,10.0,14.0,13.0,19.0,26.0,-6.0,0.0,5.0,44.04275,44.04825,85.78703193737582,-0.0055,33.0,44.0,55.0,33.0,44.0,56.0,68.6960319373758,84.69603193737582,103.6960319373758,-14.0,0.0,14.0,9.21175,9.101,18.31275,13.0,18.0,24.0,1.4965,1.52125,3.01775,1.0,3.0,5.0,1.767,1.762,3.529,1.0,3.0,6.0,4.375,4.35125,8.72625,5.0,9.0,13.0,2.4485,2.46475,4.91325,2.0,5.0,8.0
2026-02-05,401805188,California Baptist Lancers,Tarleton State Texans,2026-02-05 22:00,2026-02-06T03:00:00Z,EST,6,2,25,30,9.4855,9.8635,19.349,-0.378,5.0,9.0,14.0,6.0,10.0,14.0,13.0,19.0,26.0,-6.0,0.0,5.0,53.52825,53.91175,105.68692598144771,-0.3835,42.0,53.0,65.0,42.0,54.0,66.0,88.24692598144773,105.24692598144772,124.24692598144772,-15.0,0.0,15.0,9.13225,9.1665,18.29875,13.0,18.0,24.0,1.51475,1.51475,3.0295,1.0,3.0,5.0,1.79375,1.7655,3.55925,1.0,3.0,6.0,4.33675,4.30025,8.637,5.0,8.0,13.0,2.4535,2.466,4.9195,2.0,5.0,8.0
2026-02-05,401805188,California Baptist Lancers,Tarleton State Texans,2026-02-05 22:00,2026-02-06T03:00:00Z,EST,7,2,30,35,9.5225,9.8405,19.363,-0.318,5.0,9.0,14.0,6.0,10.0,14.0,13.0,19.0,26.0,-6.0,0.0,5.0,63.05075,63.75225,126.31035103913536,-0.7015,51.0,63.0,76.0,51.0,64.0,77.0,106.50735103913536,125.50735103913536,146.50735103913536,-17.0,-1.0,15.0,9.163,9.164,18.327,13.0,18.0,24.0,1.502,1.51375,3.01575,1.0,3.0,5.0,1.751,1.78025,3.53125,1.0,3.0,6.0,4.36,4.318,8.678,5.0,8.0,13.0,2.4315,2.40125,4.83275,2.0,5.0,8.0
2026-02-05,401805188,California Baptist Lancers,Tarleton State Texans,2026-02-05 22:00,2026-02-06T03:00:00Z,EST,8,2,35,40,9.43825,9.88125,19.3195,-0.443,5.0,9.0,14.0,6.0,10.0,15.0,13.0,19.0,26.0,-6.0,0.0,5.0,72.489,73.6335,146.1225,-1.1445,59.0,72.0,86.0,60.0,73.0,88.0,125.0,146.0,168.0,-19.0,-1.0,17.0,9.2075,9.283,18.4905,13.0,18.0,25.0,1.51525,1.50575,3.021,1.0,3.0,5.0,1.76825,1.78775,3.556,1.0,3.0,6.0,4.3175,4.34525,8.66275,5.0,9.0,13.0,2.42325,2.4645,4.88775,2.0,5.0,8.0
2026-02-05,401805189,Utah Tech Trailblazers,UT Arlington Mavericks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,1,1,0,5,8.451,8.406,16.857,0.045,4.0,8.0,13.0,4.0,8.0,13.0,11.0,17.0,23.0,-5.0,0.0,5.0,8.451,8.406,15.639691432478775,0.045,4.0,8.0,13.0,4.0,8.0,13.0,9.782691432478774,15.782691432478776,21.78269143247877,-5.0,0.0,5.0,8.6895,8.71275,17.40225,12.0,17.0,23.0,1.41275,1.4705,2.88325,1.0,3.0,5.0,1.65775,1.68025,3.338,1.0,3.0,6.0,4.1275,4.14725,8.27475,5.0,8.0,12.0,2.29325,2.31,4.60325,2.0,4.0,7.0
2026-02-05,401805189,Utah Tech Trailblazers,UT Arlington Mavericks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,2,1,5,10,8.41975,8.42475,16.8445,-0.005,4.0,8.0,13.0,4.0,8.0,13.0,11.0,17.0,23.0,-5.0,0.0,5.0,16.87075,16.83075,31.58004474090309,0.04,11.0,17.0,24.0,11.0,17.0,24.0,21.878544740903088,30.87854474090309,41.87854474090308,-8.0,0.0,8.0,8.70725,8.64925,17.3565,12.0,17.0,23.0,1.4215,1.4285,2.85,1.0,3.0,5.0,1.69475,1.60275,3.2975,1.0,3.0,6.0,4.16825,4.1465,8.31475,5.0,8.0,12.0,2.34025,2.291,4.63125,2.0,4.0,8.0
2026-02-05,401805189,Utah Tech Trailblazers,UT Arlington Mavericks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,3,1,10,15,8.41725,8.4465,16.86375,-0.02925,4.0,8.0,13.0,4.0,8.0,13.0,11.0,17.0,23.0,-5.0,0.0,5.0,25.288,25.27725,47.80212913858611,0.01075,17.0,25.0,34.0,17.0,25.0,34.0,34.236879138586104,47.2368791385861,62.2368791385861,-10.0,0.0,10.0,8.68325,8.7555,17.43875,12.0,17.0,23.0,1.439,1.441,2.88,1.0,3.0,5.0,1.68,1.64075,3.32075,1.0,3.0,6.0,4.12675,4.109,8.23575,5.0,8.0,12.0,2.298,2.35875,4.65675,2.0,4.0,8.0
2026-02-05,401805189,Utah Tech Trailblazers,UT Arlington Mavericks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,4,1,15,20,8.5055,8.357,16.8625,0.1485,4.0,8.0,13.0,4.0,8.0,13.0,10.0,17.0,24.0,-5.0,0.0,6.0,33.7935,33.63425,67.69762807793352,0.15925,23.0,34.0,45.0,23.0,33.0,45.0,49.26987807793351,67.26987807793351,86.2698780779335,-12.0,0.0,12.0,8.7485,8.711,17.4595,12.0,17.0,23.0,1.459,1.425,2.884,1.0,3.0,5.0,1.6395,1.68925,3.32875,1.0,3.0,6.0,4.08325,4.10475,8.188,5.0,8.0,12.0,2.323,2.28975,4.61275,2.0,4.0,8.0
2026-02-05,401805189,Utah Tech Trailblazers,UT Arlington Mavericks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,5,2,20,25,9.31325,9.82475,19.138,-0.5115,5.0,9.0,14.0,6.0,10.0,14.0,13.0,19.0,26.0,-6.0,0.0,5.0,43.10675,43.459,84.26178193737582,-0.35225,32.0,43.0,55.0,32.0,43.0,55.0,65.6960319373758,83.69603193737582,102.79603193737572,-14.0,0.0,13.0,9.0885,9.03275,18.12125,13.0,18.0,24.0,1.47325,1.48375,2.957,1.0,3.0,5.0,1.751,1.717,3.468,1.0,3.0,6.0,4.26225,4.28775,8.55,5.0,8.0,13.0,2.43075,2.3615,4.79225,2.0,5.0,8.0
2026-02-05,401805189,Utah Tech Trailblazers,UT Arlington Mavericks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,6,2,25,30,9.32725,9.79975,19.127,-0.4725,5.0,9.0,14.0,6.0,10.0,14.0,13.0,19.0,26.0,-6.0,-1.0,5.0,52.434,53.25875,103.93967598144776,-0.82475,40.0,52.0,65.0,41.0,53.0,66.0,85.14692598144777,103.24692598144772,123.34692598144764,-16.0,-1.0,14.0,9.0985,9.02125,18.11975,12.0,18.0,24.0,1.489,1.50225,2.99125,1.0,3.0,5.0,1.73125,1.7005,3.43175,1.0,3.0,6.0,4.26925,4.27225,8.5415,5.0,8.0,12.0,2.412,2.396,4.808,2.0,5.0,8.0
