pair_key,home_team,away_team,our_start_display,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
delawarestate::miamihurricanes,Miami Hurricanes,Delaware State Hornets,2025-11-23 18:00,2025-11-23T23:00:00Z,2025-11-23 23:00:00+00:00,,2025-11-23 18:00:00+00:00,2025-11-23 18:00:00+00:00,300.0
depaulblue::detroitmercy,DePaul Blue Demons,Detroit Mercy Titans,2025-11-23 23:00,2025-11-24T04:00:00Z,2025-11-24 04:00:00+00:00,,2025-11-23 23:00:00+00:00,2025-11-23 23:00:00+00:00,300.0
drexel::olddominion,Drexel Dragons,Old Dominion Monarchs,2025-11-23 19:00,2025-11-24T00:00:00Z,2025-11-24 00:00:00+00:00,,2025-11-23 19:00:00+00:00,2025-11-23 19:00:00+00:00,300.0
dukebluedevils::howard,Duke Blue Devils,Howard Bison,2025-11-23 21:00,2025-11-24T02:00:00Z,2025-11-24 02:00:00+00:00,,2025-11-23 21:00:00+00:00,2025-11-23 21:00:00+00:00,300.0
easttennesseestate::ulmonroewarhawks,East Tennessee State Buccaneers,UL Monroe Warhawks,2025-11-23 21:00,2025-11-24T02:00:00Z,2025-11-24 02:00:00+00:00,,2025-11-23 21:00:00+00:00,2025-11-23 21:00:00+00:00,300.0
furmanpaladins::queensroyals,Furman Paladins,Queens University Royals,2025-11-23 23:00,2025-11-24T04:00:00Z,2025-11-24 04:00:00+00:00,,2025-11-23 23:00:00+00:00,2025-11-23 23:00:00+00:00,300.0
georgewashingtonrevolutionaries::mcneese,George Washington Revolutionaries,McNeese Cowboys,2025-11-23 22:00,2025-11-24T03:00:00Z,2025-11-24 03:00:00+00:00,,2025-11-23 22:00:00+00:00,2025-11-23 22:00:00+00:00,300.0
georgiatechyellowjackets::westgeorgiawolves,Georgia Tech Yellow Jackets,West Georgia Wolves,2025-11-23 19:00,2025-11-24T00:00:00Z,2025-11-24 00:00:00+00:00,,2025-11-23 19:00:00+00:00,2025-11-23 19:00:00+00:00,300.0
jacksonstate::winthrop,Jackson State Tigers,Winthrop Eagles,2025-11-23 00:00,2025-11-23T05:00:00Z,2025-11-23 05:00:00+00:00,,2025-11-23 05:00:00+00:00,2025-11-23 05:00:00+00:00,0.0
lamar::montanagrizzlies,Montana Grizzlies,Lamar Cardinals,2025-11-23 21:00,2025-11-24T02:00:00Z,2025-11-24 02:00:00+00:00,,2025-11-23 21:00:00+00:00,2025-11-23 21:00:00+00:00,300.0
marshallthunderingherd::mercyhurst,Marshall Thundering Herd,Mercyhurst Lakers,2025-11-24 00:00,2025-11-24T05:00:00Z,2025-11-24 05:00:00+00:00,,2025-11-24 00:00:00+00:00,2025-11-24 00:00:00+00:00,300.0
middletennesseeblueraiders::murraystate,Middle Tennessee Blue Raiders,Murray State Racers,2025-11-24 00:30,2025-11-24T05:30:00Z,2025-11-24 05:30:00+00:00,,2025-11-24 00:30:00+00:00,2025-11-24 00:30:00+00:00,300.0
monmouth::robertmorriscolonials,Monmouth Hawks,Robert Morris Colonials,2025-11-23 19:00,2025-11-24T00:00:00Z,2025-11-24 00:00:00+00:00,,2025-11-23 19:00:00+00:00,2025-11-23 19:00:00+00:00,300.0
mountstatemarys::westernmichigan,Western Michigan Broncos,Mount St. Mary's Mountaineers,2025-11-23 20:00,2025-11-24T01:00:00Z,2025-11-24 01:00:00+00:00,,2025-11-23 20:00:00+00:00,2025-11-23 20:00:00+00:00,300.0
norfolkstate::wyoming,Wyoming Cowboys,Norfolk State Spartans,2025-11-23 21:00,2025-11-24T02:00:00Z,2025-11-24 02:00:00+00:00,,2025-11-23 21:00:00+00:00,2025-11-23 21:00:00+00:00,300.0
northdakotafighting::westernillinoisleathernecks,Western Illinois Leathernecks,North Dakota Fighting Hawks,2025-11-24 00:00,2025-11-24T05:00:00Z,2025-11-24 05:00:00+00:00,,2025-11-24 00:00:00+00:00,2025-11-24 00:00:00+00:00,300.0
northwestern::southcarolinagamecocks,Northwestern Wildcats,South Carolina Gamecocks,2025-11-23 22:00,2025-11-24T03:00:00Z,2025-11-24 03:00:00+00:00,,2025-11-23 22:00:00+00:00,2025-11-23 22:00:00+00:00,300.0
pittsburgh::quinnipiac,Pittsburgh Panthers,Quinnipiac Bobcats,2025-11-23 22:00,2025-11-24T03:00:00Z,2025-11-24 03:00:00+00:00,,2025-11-23 22:00:00+00:00,2025-11-23 22:00:00+00:00,300.0
portlandpilots::stthomasminnesotatommies,Portland Pilots,St. Thomas-Minnesota Tommies,2025-11-23 21:00,2025-11-24T02:00:00Z,2025-11-24 02:00:00+00:00,,2025-11-23 21:00:00+00:00,2025-11-23 21:00:00+00:00,300.0
southcarolinastate::southdakotacoyotes,South Dakota Coyotes,South Carolina State Bulldogs,2025-11-23 19:00,2025-11-24T00:00:00Z,2025-11-24 00:00:00+00:00,,2025-11-23 19:00:00+00:00,2025-11-23 19:00:00+00:00,300.0
tbd::tbd,TBD,TBD,2025-11-23 21:00,2025-11-24T02:00:00Z,2025-11-24 02:00:00+00:00,,2025-11-24 02:00:00+00:00,2025-11-24 02:00:00+00:00,0.0
uncgreensboro::youngstownstate,UNC Greensboro Spartans,Youngstown State Penguins,2025-11-23 22:30,2025-11-24T03:30:00Z,2025-11-24 03:30:00+00:00,,2025-11-23 22:30:00+00:00,2025-11-23 22:30:00+00:00,300.0
