date,game_id,end_min,actual_total,pred_mu,pred_q10,pred_q50,pred_q90,err_q50,abs_err_q50,pinball_q10,pinball_q50,pinball_q90,is_ot_game,is_ot_endpoint,ot_periods
2026-02-04,401822929,25,81.0,92.36359717626075,75.72934717626076,91.72934717626076,109.72934717626076,10.72934717626076,10.72934717626076,0.527065282373924,5.36467358813038,2.8729347176260758,0,0,0
2026-02-04,401822929,30,97.0,107.18519393169808,89.25269393169808,107.25269393169808,125.25269393169808,10.252693931698076,10.252693931698076,0.7747306068301925,5.126346965849038,2.825269393169807,0,0,0
2026-02-04,401822929,35,116.0,122.9429886197541,103.55398861975412,122.55398861975412,140.653988619754,6.553988619754122,6.553988619754122,1.2446011380245878,3.276994309877061,2.465398861975398,0,0,0
2026-02-04,401822929,40,132.0,137.82425,118.0,138.0,158.0,6.0,6.0,1.4,3.0,2.6,0,0,0
2026-02-04,401822930,5,8.0,20.37993348958565,13.965933489585645,19.965933489585645,26.965933489585645,11.965933489585645,11.965933489585645,5.36934014062708,5.982966744792822,1.896593348958564,0,0,0
2026-02-04,401822930,10,21.0,40.79571919969196,30.02221919969196,40.02221919969196,51.02221919969196,19.02221919969196,19.02221919969196,8.119997279722766,9.51110959984598,3.0022219199691955,0,0,0
2026-02-04,401822930,15,36.0,61.49758186232508,47.39933186232508,61.39933186232508,75.39933186232508,25.39933186232508,25.39933186232508,10.25939867609257,12.69966593116254,3.939933186232508,0,0,0
2026-02-04,401822930,20,56.0,76.94214904975182,59.38864904975182,76.38864904975182,94.38864904975182,20.38864904975182,20.38864904975182,3.0497841447766376,10.19432452487591,3.838864904975181,0,0,0
2026-02-04,401822930,25,81.0,97.70134717626075,79.72934717626076,97.72934717626076,115.72934717626076,16.72934717626076,16.72934717626076,0.127065282373924,8.36467358813038,3.472934717626075,0,0,0
2026-02-04,401822930,30,101.0,112.66494393169808,95.25269393169808,112.25269393169808,131.25269393169808,11.252693931698076,11.252693931698076,0.5747306068301924,5.626346965849038,3.0252693931698067,0,0,0
2026-02-04,401822930,35,115.0,128.29523861975412,109.55398861975412,128.55398861975414,147.55398861975408,13.553988619754136,13.553988619754136,0.5446011380245878,6.776994309877068,3.255398861975407,0,0,0
2026-02-04,401822930,40,144.0,143.023,122.0,143.0,164.0,-1.0,1.0,2.2,0.5,2.0,0,0,0
2026-02-04,401822931,5,15.0,20.61343348958565,13.965933489585645,19.965933489585645,27.965933489585645,4.965933489585645,4.965933489585645,0.1034066510414355,2.4829667447928223,1.2965933489585642,1,0,2
2026-02-04,401822931,10,38.0,41.34846919969197,31.02221919969196,41.02221919969196,53.02221919969196,3.0222191996919605,3.0222191996919605,0.697778080030804,1.5111095998459805,1.5022219199691955,1,0,2
2026-02-04,401822931,15,50.0,62.47333186232508,47.39933186232508,62.39933186232508,77.39933186232508,12.399331862325075,12.399331862325075,0.2600668137674923,6.199665931162539,2.739933186232508,1,0,2
2026-02-04,401822931,20,66.0,78.15989904975183,59.38864904975182,77.38864904975182,97.38864904975182,11.38864904975182,11.38864904975182,0.661135095024818,5.69432452487591,3.1388649049751813,1,0,2
