game_id,date,home_team,away_team,home_pf5,home_pa5,home_tot5,away_pf5,away_pa5,away_tot5,target_total,target_margin,target_1h_total,rest_home,rest_away,b2b_home,b2b_away,neutral_site,home_efg5,home_tov_rate5,home_orb_rate5,home_ftr5,home_poss5,away_efg5,away_tov_rate5,away_orb_rate5,away_ftr5,away_poss5,home_rating_margin,away_rating_margin,rating_margin_diff,home_off_rating,away_off_rating,off_rating_diff,home_def_rating,away_def_rating,def_rating_diff,home_tempo_rating,away_tempo_rating,tempo_rating_sum,home_conf,away_conf
401211601,2020-03-12,Memphis Tigers,East Carolina Pirates,57.4,65.2,122.6,61.4,79.6,141.0,0,0,,4.0,43.0,False,False,True,,,,,0.0,,,,,0.0,11.327756302846144,-0.1319120987688559,11.459668401615,,,,,,,,,,AAC,AAC
401253996,2021-01-01,Rice Owls,UTSA Roadrunners,51.0,66.0,117.0,66.4,80.2,146.6,181,9,90.0,20.0,296.0,False,False,False,,,,,0.0,,,,,0.0,1.0209019071025027,-0.0659343988161146,1.0868363059186177,,,,,,,,,,AAC,AAC
401254565,2021-01-01,North Texas Mean Green,UAB Blazers,43.0,51.8,94.8,53.0,52.0,105.0,0,0,,21.0,295.0,False,False,False,,,,,0.0,,,,,0.0,4.42328877017266,5.546006825987633,-1.122718055814973,,,,,,,,,,AAC,AAC
401288033,2021-03-05,North Texas Mean Green,UAB Blazers,22.6,26.0,48.6,42.6,37.8,80.4,116,-14,59.0,14.0,14.0,False,False,False,,,,,0.0,,,,,0.0,4.42328877017266,5.546006825987633,-1.122718055814973,,,,,,,,,,AAC,AAC
401301259,2021-03-10,UTSA Roadrunners,Charlotte 49ers,73.6,83.2,156.8,39.0,41.6,80.6,134,10,67.0,33.0,5.0,False,False,True,,,,,0.0,,,,,0.0,-0.0659343988161146,-2.7571360881758014,2.6912016893596866,,,,,,,,,,AAC,AAC
401301771,2021-03-11,South Florida Bulls,Temple Owls,35.0,48.4,83.4,31.4,44.0,75.4,144,2,75.0,11.0,47.0,False,False,True,,,,,0.0,,,,,0.0,2.0816211475990936,3.828025092957538,-1.7464039453584443,,,,,,,,,,AAC,AAC
401301772,2021-03-11,Tulsa Golden Hurricane,Tulane Green Wave,47.2,50.6,97.8,49.0,62.6,111.6,147,-7,78.0,50.0,42.0,False,False,True,,,,,0.0,,,,,0.0,1.6115214721271969,0.4897055725041193,1.1218158996230774,,,,,,,,,,AAC,AAC
401301266,2021-03-11,UAB Blazers,Rice Owls,40.8,34.2,75.0,60.2,51.8,112.0,133,13,68.0,6.0,1.0,False,True,True,,,,,0.0,,,,,0.0,5.546006825987633,1.0209019071025027,4.52510491888513,,,,,,,,,,AAC,AAC
401301774,2021-03-12,Wichita State Shockers,South Florida Bulls,45.0,52.6,97.6,38.0,50.2,88.2,135,1,73.0,22.0,1.0,False,True,True,,,,,0.0,,,,,0.0,11.473488838557325,2.0816211475990936,9.391867690958229,,,,,,,,,,AAC,AAC
401409388,2022-03-09,Charlotte 49ers,Rice Owls,63.0,73.2,136.2,62.4,69.6,132.0,134,-12,57.0,92.0,106.0,False,False,True,,,,,0.0,,,,,0.0,-2.7571360881758014,1.0209019071025027,-3.778037995278304,,,,,,,,,,AAC,AAC
